kappa,condition,mixture,subset,lambda_reward,count,rank_disagreement_rate,strict_flip_rate,obs_regret,obs_regret_worst_tie,mean_regret,conditional_regret_given_error,mean_action_dependent_distortion,gap_sign_preservation,mean_obs_top_second_gap,obs_top_fraction_minus,obs_top_fraction_base,obs_top_fraction_plus,do_top_fraction_minus,do_top_fraction_base,do_top_fraction_plus
0.0,confounded,logger1_heavy,all,0.0,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.003865745498299636,0.91162109375,0.00537109375,0.0830078125,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.0005,2048,0.013671875,0.013671875,3.967690091077067e-06,3.967690091077067e-06,3.967690091077067e-06,0.00029020818951877976,0.0005342584568965025,0.98779296875,0.0035562607166237515,0.90234375,0.00341796875,0.09423828125,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.001,2048,0.046875,0.046875,4.192391490634179e-05,4.192391490634179e-05,4.192391490634179e-05,0.0008943768513352915,0.001068516913793005,0.95458984375,0.003261978319508234,0.869140625,0.0048828125,0.1259765625,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.002,2048,0.1181640625,0.1181640625,0.00020408849822746336,0.00020408849822746336,0.00020408849822746336,0.001727162166817541,0.00213703382758601,0.8837890625,0.0027409577449498306,0.79833984375,0.0126953125,0.18896484375,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.003,2048,0.26953125,0.26953125,0.0007577955086203788,0.0007577955086203788,0.0007577955086203788,0.0028115311624176374,0.0032055507413790156,0.73193359375,0.0023823620624920192,0.64697265625,0.02783203125,0.3251953125,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.005,2048,0.591796875,0.591796875,0.0026911582360929264,0.0026911582360929264,0.0026911582360929264,0.0045474356992725356,0.005342584568965026,0.41015625,0.0024340660425968804,0.3251953125,0.01806640625,0.65673828125,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.0075,2048,0.64111328125,0.640625,0.0031452806846578797,0.00314804746639551,0.0031452806846578797,0.004905967130372687,0.008013876853447538,0.3603515625,0.0031739624560877585,0.2763671875,0.0146484375,0.70947265625,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.01,2048,0.8994140625,0.8994140625,0.006589196946250106,0.006589196946250106,0.006589196946250106,0.0073260995363301955,0.010685169137930052,0.103515625,0.00449950301631619,0.017578125,0.00830078125,0.97412109375,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.015,2048,0.9169921875,0.9169921875,0.00693593650213843,0.00693593650213843,0.00693593650213843,0.007563790179115817,0.016027753706895076,0.0849609375,0.008260448313608346,0.0,0.0,1.0,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.02,2048,0.9169921875,0.9169921875,0.00693593650213843,0.00693593650213843,0.00693593650213843,0.007563790179115817,0.021370338275860105,0.08447265625,0.012039118045515738,0.0,0.0,1.0,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.03,2048,0.9169921875,0.9169921875,0.00693593650213843,0.00693593650213843,0.00693593650213843,0.007563790179115817,0.03205550741379015,0.08447265625,0.019594673601071446,0.0,0.0,1.0,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,all,0.05,2048,0.9169921875,0.9169921875,0.00693593650213843,0.00693593650213843,0.00693593650213843,0.007563790179115817,0.05342584568965026,0.08447265625,0.03470578471218249,0.0,0.0,1.0,0.91162109375,0.00537109375,0.0830078125
0.0,confounded,logger1_heavy,train,0.0,358,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0031834097921609166,0.9273743016759777,0.00558659217877095,0.0670391061452514,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.0005,358,0.008379888268156424,0.008379888268156424,1.2320358699727144e-06,1.2320358699727144e-06,1.2320358699727144e-06,0.00014702294715007724,0.0005342584568965025,0.994413407821229,0.002861242719180409,0.9245810055865922,0.0,0.07541899441340782,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.001,358,0.0446927374301676,0.0446927374301676,4.067825322116633e-05,4.067825322116633e-05,4.067825322116633e-05,0.0009101759158235967,0.001068516913793005,0.9581005586592178,0.002551769581602178,0.888268156424581,0.00558659217877095,0.10614525139664804,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.002,358,0.1564245810055866,0.1564245810055866,0.0002703345803754193,0.0002703345803754193,0.0002703345803754193,0.0017282103531142876,0.00213703382758601,0.8463687150837989,0.0020326960305754524,0.776536312849162,0.030726256983240222,0.19273743016759776,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.003,358,0.3407821229050279,0.3407821229050279,0.0009718703768215272,0.0009718703768215272,0.0009718703768215272,0.0028518819254271044,0.003205550741379016,0.6620111731843575,0.0017224213754109049,0.5921787709497207,0.0335195530726257,0.3743016759776536,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.005,358,0.7206703910614525,0.7206703910614525,0.0031781590013704375,0.0031781590013704375,0.0031781590013704375,0.004410003575545026,0.005342584568965025,0.2849162011173184,0.002111856328169857,0.2122905027932961,0.019553072625698324,0.7681564245810056,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.0075,358,0.7653631284916201,0.7653631284916201,0.0035760974226062008,0.0035760974226062008,0.0035760974226062008,0.004672419260193504,0.008013876853447538,0.23743016759776536,0.003220477688094248,0.16759776536312848,0.027932960893854747,0.8044692737430168,0.9273743016759777,0.00558659217877095,0.0670391061452514
0.0,confounded,logger1_heavy,train,0.01,358,0.9301675977653632,0.9301675977653632,0.005862007085563772,0.005862007085563772,0.005862007085563772,0.006302097707603095,0.01068516913793005,0.07541899441340782,0.004811450047558357,0.002793296089385475,0.002793296089385475,0.994413407821229,0.9273743016759777,0.00558659217877095,0.0670391061452514
