anchor_id,kappa,condition,mixture,left_action,right_action,crossing,status,top_left,top_point,top_right
0,0.0,confounded,logger1_heavy,minus,base,0.0030515779987966285,nonnegative,minus,minus|base,base
0,0.0,confounded,logger1_heavy,minus,plus,0.003919089238386458,nonnegative,base,base,base
0,0.0,confounded,logger1_heavy,base,plus,0.004786600477976286,nonnegative,base,base|plus,plus
1,0.0,confounded,logger1_heavy,minus,base,0.009520913521478058,nonnegative,minus,minus|base,base
1,0.0,confounded,logger1_heavy,minus,plus,0.009574030645638058,nonnegative,base,base,base
1,0.0,confounded,logger1_heavy,base,plus,0.009627147769798058,nonnegative,base,base|plus,plus
2,0.0,confounded,logger1_heavy,minus,base,0.0032999785542258916,nonnegative,minus,minus|base,base
2,0.0,confounded,logger1_heavy,minus,plus,0.003354515156949701,nonnegative,base,base,base
2,0.0,confounded,logger1_heavy,base,plus,0.00340905175967351,nonnegative,base,base|plus,plus
3,0.0,confounded,logger1_heavy,minus,base,0.0041695763587929905,nonnegative,minus,minus|base,base
3,0.0,confounded,logger1_heavy,minus,plus,0.0042250857611288405,nonnegative,base,base,base
3,0.0,confounded,logger1_heavy,base,plus,0.004280595163464691,nonnegative,base,base|plus,plus
4,0.0,confounded,logger1_heavy,minus,base,0.0031691798323259493,nonnegative,minus,minus|base,base
4,0.0,confounded,logger1_heavy,minus,plus,0.0032250516382386534,nonnegative,base,base,base
4,0.0,confounded,logger1_heavy,base,plus,0.0032809234441513574,nonnegative,base,base|plus,plus
5,0.0,confounded,logger1_heavy,minus,base,0.0033829854540507235,nonnegative,minus,minus|base,base
5,0.0,confounded,logger1_heavy,minus,plus,0.0034380408307559526,nonnegative,base,base,base
5,0.0,confounded,logger1_heavy,base,plus,0.0034930962074611817,nonnegative,base,base|plus,plus
6,0.0,confounded,logger1_heavy,minus,base,0.0036808305598919314,nonnegative,minus,minus|base,base
6,0.0,confounded,logger1_heavy,minus,plus,0.0037349447241562333,nonnegative,base,base,base
6,0.0,confounded,logger1_heavy,base,plus,0.003789058888420535,nonnegative,base,base|plus,plus
7,0.0,confounded,logger1_heavy,minus,base,0.003744629853598789,nonnegative,plus,plus,plus
7,0.0,confounded,logger1_heavy,minus,plus,0.0036676564856945072,nonnegative,minus,minus|plus,plus
7,0.0,confounded,logger1_heavy,base,plus,0.003590683117790225,nonnegative,minus,minus,minus
8,0.0,confounded,logger1_heavy,minus,base,0.0041909245573442735,nonnegative,minus,minus|base,base
8,0.0,confounded,logger1_heavy,minus,plus,0.004246091464884952,nonnegative,base,base,base
8,0.0,confounded,logger1_heavy,base,plus,0.00430125837242563,nonnegative,base,base|plus,plus
9,0.0,confounded,logger1_heavy,minus,base,0.002291804687589912,nonnegative,minus,minus|base,base
9,0.0,confounded,logger1_heavy,minus,plus,0.002347639174756581,nonnegative,base,base,base
9,0.0,confounded,logger1_heavy,base,plus,0.0024034736619232507,nonnegative,base,base|plus,plus
10,0.0,confounded,logger1_heavy,minus,base,0.0021463540773514855,nonnegative,minus,minus|base,base
10,0.0,confounded,logger1_heavy,minus,plus,0.0021882636181380644,nonnegative,base,base,base
10,0.0,confounded,logger1_heavy,base,plus,0.0022301731589246436,nonnegative,base,base|plus,plus
11,0.0,confounded,logger1_heavy,minus,base,0.0019226349678815933,nonnegative,minus,minus|base,base
11,0.0,confounded,logger1_heavy,minus,plus,0.001975434541403897,nonnegative,base,base,base
11,0.0,confounded,logger1_heavy,base,plus,0.002028234114926201,nonnegative,base,base|plus,plus
12,0.0,confounded,logger1_heavy,minus,base,0.009493338132036776,nonnegative,minus,minus|base,base
12,0.0,confounded,logger1_heavy,minus,plus,0.009546352339828408,nonnegative,base,base,base
12,0.0,confounded,logger1_heavy,base,plus,0.00959936654762004,nonnegative,base,base|plus,plus
13,0.0,confounded,logger1_heavy,minus,base,0.003158104364349092,nonnegative,minus,minus|base,base
13,0.0,confounded,logger1_heavy,minus,plus,0.0034167984482309055,nonnegative,base,base,base
13,0.0,confounded,logger1_heavy,base,plus,0.003675492532112719,nonnegative,base,base|plus,plus
14,0.0,confounded,logger1_heavy,minus,base,0.00449923447583427,nonnegative,minus,minus|base,base
14,0.0,confounded,logger1_heavy,minus,plus,0.004554375893511199,nonnegative,base,base,base
14,0.0,confounded,logger1_heavy,base,plus,0.004609517311188129,nonnegative,base,base|plus,plus
15,0.0,confounded,logger1_heavy,minus,base,0.003058536671125871,nonnegative,minus,minus|base,base
15,0.0,confounded,logger1_heavy,minus,plus,0.003114275943086821,nonnegative,base,base,base
15,0.0,confounded,logger1_heavy,base,plus,0.0031700152150477704,nonnegative,base,base|plus,plus
16,0.0,confounded,logger1_heavy,minus,base,0.0037333533590342026,nonnegative,minus,minus|base,base
16,0.0,confounded,logger1_heavy,minus,plus,0.0037880225520796748,nonnegative,base,base,base
16,0.0,confounded,logger1_heavy,base,plus,0.0038426917451251474,nonnegative,base,base|plus,plus
17,0.0,confounded,logger1_heavy,minus,base,0.004491151105025091,nonnegative,minus,minus|base,base
17,0.0,confounded,logger1_heavy,minus,plus,0.006277291349972961,nonnegative,base,base,base
17,0.0,confounded,logger1_heavy,base,plus,0.008063431594920832,nonnegative,base,base|plus,plus
18,0.0,confounded,logger1_heavy,minus,base,0.003712543686307442,nonnegative,minus,minus|base,base
18,0.0,confounded,logger1_heavy,minus,plus,0.003767607023362991,nonnegative,base,base,base
18,0.0,confounded,logger1_heavy,base,plus,0.0038226703604185403,nonnegative,base,base|plus,plus
19,0.0,confounded,logger1_heavy,minus,base,0.009196286974821822,nonnegative,minus,minus|base,base
19,0.0,confounded,logger1_heavy,minus,plus,0.009250270252636798,nonnegative,base,base,base
19,0.0,confounded,logger1_heavy,base,plus,0.009304253530451775,nonnegative,base,base|plus,plus
20,0.0,confounded,logger1_heavy,minus,base,0.010056096048432528,nonnegative,minus,minus|base,base
20,0.0,confounded,logger1_heavy,minus,plus,0.01010963929657069,nonnegative,base,base,base
20,0.0,confounded,logger1_heavy,base,plus,0.010163182544708852,nonnegative,base,base|plus,plus
21,0.0,confounded,logger1_heavy,minus,base,0.0034788777045637615,nonnegative,minus,minus|base,base
