action,condition,error_type,kappa,lambda_reward,mae,max,max_abs,mean_abs_common_shift,mean_centered_bias_l2,mean_max_abs_action_residual,median,min,mixture,model_seed,n,n_anchors,p90_abs,record_type,rmse,signed_mean
minus,confounded,population_causal_bias,0.0,0.0,2.4197168485420076e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.6128751349910743e-16,1.8503717077085943e-16
minus,confounded,neural_approximation_error,0.0,0.0,0.02296464848041751,0.1164451103058366,0.19610435887102717,,,,-0.00025279808962053174,-0.19610435887102717,logger1_heavy,0,78,,0.06317292263002947,action_error,0.04069653453504495,-0.0034695578018042817
minus,confounded,total_neural_do_error,0.0,0.0,0.022964648480417484,0.11644511030583704,0.19610435887102717,,,,-0.00025279808962008765,-0.19610435887102717,logger1_heavy,0,78,,0.06317292263003009,action_error,0.04069653453504494,-0.0034695578018040965
base,confounded,population_causal_bias,0.0,0.0,6.832141690000964e-17,4.440892098500626e-16,4.440892098500626e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,1.741861189847285e-16,2.2773805633336544e-17
base,confounded,neural_approximation_error,0.0,0.0,0.02196777373158132,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger1_heavy,0,78,,0.0591529613464254,action_error,0.039292976414880464,-0.0032220811462109625
base,confounded,total_neural_do_error,0.0,0.0,0.02196777373158131,0.1006791946615393,0.19327080831482712,,,,-0.0004518454839019803,-0.19327080831482712,logger1_heavy,0,78,,0.0591529613464254,action_error,0.03929297641488045,-0.00322208114621094
plus,confounded,population_causal_bias,0.0,0.0,2.4054832200211723e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,0,78,,4.440892098500626e-16,action_error,3.680046780460589e-16,2.0638761355211244e-16
plus,confounded,neural_approximation_error,0.0,0.0,0.02278318673552484,0.08795104844548796,0.18571018413641394,,,,0.0031052432577189926,-0.18571018413641394,logger1_heavy,0,78,,0.0539702149444354,action_error,0.0381634441188973,-0.003137108849666015
plus,confounded,total_neural_do_error,0.0,0.0,0.02278318673552483,0.08795104844548796,0.18571018413641394,,,,0.0031052432577192146,-0.18571018413641394,logger1_heavy,0,78,,0.05397021494443553,action_error,0.03816344411889728,-0.0031371088496658086
minus,confounded,population_causal_bias,0.0,0.0,2.4197168485420076e-16,8.881784197001252e-16,8.881784197001252e-16,,,,0.0,-4.440892098500626e-16,logger1_heavy,1,78,,4.440892098500626e-16,action_error,3.6128751349910743e-16,1.8503717077085943e-16
