anchor_count,condition,failure_type,fraction,kappa,lambda_reward,mixture,model_seed,n_anchors
46,confounded,A,0.5897435897435898,0.0,0.0,logger1_heavy,0,78
32,confounded,B,0.41025641025641024,0.0,0.0,logger1_heavy,0,78
0,confounded,C,0.0,0.0,0.0,logger1_heavy,0,78
0,confounded,D,0.0,0.0,0.0,logger1_heavy,0,78
0,confounded,E,0.0,0.0,0.0,logger1_heavy,0,78
57,confounded,A,0.7307692307692307,0.0,0.0,logger1_heavy,1,78
21,confounded,B,0.2692307692307692,0.0,0.0,logger1_heavy,1,78
0,confounded,C,0.0,0.0,0.0,logger1_heavy,1,78
0,confounded,D,0.0,0.0,0.0,logger1_heavy,1,78
0,confounded,E,0.0,0.0,0.0,logger1_heavy,1,78
51,confounded,A,0.6538461538461539,0.0,0.0,logger1_heavy,2,78
27,confounded,B,0.34615384615384615,0.0,0.0,logger1_heavy,2,78
0,confounded,C,0.0,0.0,0.0,logger1_heavy,2,78
0,confounded,D,0.0,0.0,0.0,logger1_heavy,2,78
0,confounded,E,0.0,0.0,0.0,logger1_heavy,2,78
46,confounded,A,0.5897435897435898,0.0,0.0,logger12_balanced,0,78
32,confounded,B,0.41025641025641024,0.0,0.0,logger12_balanced,0,78
0,confounded,C,0.0,0.0,0.0,logger12_balanced,0,78
0,confounded,D,0.0,0.0,0.0,logger12_balanced,0,78
0,confounded,E,0.0,0.0,0.0,logger12_balanced,0,78
57,confounded,A,0.7307692307692307,0.0,0.0,logger12_balanced,1,78
21,confounded,B,0.2692307692307692,0.0,0.0,logger12_balanced,1,78
0,confounded,C,0.0,0.0,0.0,logger12_balanced,1,78
0,confounded,D,0.0,0.0,0.0,logger12_balanced,1,78
0,confounded,E,0.0,0.0,0.0,logger12_balanced,1,78
51,confounded,A,0.6538461538461539,0.0,0.0,logger12_balanced,2,78
27,confounded,B,0.34615384615384615,0.0,0.0,logger12_balanced,2,78
0,confounded,C,0.0,0.0,0.0,logger12_balanced,2,78
0,confounded,D,0.0,0.0,0.0,logger12_balanced,2,78
0,confounded,E,0.0,0.0,0.0,logger12_balanced,2,78
46,confounded,A,0.5897435897435898,0.0,0.0,logger2_heavy,0,78
32,confounded,B,0.41025641025641024,0.0,0.0,logger2_heavy,0,78
0,confounded,C,0.0,0.0,0.0,logger2_heavy,0,78
0,confounded,D,0.0,0.0,0.0,logger2_heavy,0,78
0,confounded,E,0.0,0.0,0.0,logger2_heavy,0,78
57,confounded,A,0.7307692307692307,0.0,0.0,logger2_heavy,1,78
21,confounded,B,0.2692307692307692,0.0,0.0,logger2_heavy,1,78
0,confounded,C,0.0,0.0,0.0,logger2_heavy,1,78
0,confounded,D,0.0,0.0,0.0,logger2_heavy,1,78
0,confounded,E,0.0,0.0,0.0,logger2_heavy,1,78
51,confounded,A,0.6538461538461539,0.0,0.0,logger2_heavy,2,78
27,confounded,B,0.34615384615384615,0.0,0.0,logger2_heavy,2,78
0,confounded,C,0.0,0.0,0.0,logger2_heavy,2,78
0,confounded,D,0.0,0.0,0.0,logger2_heavy,2,78
0,confounded,E,0.0,0.0,0.0,logger2_heavy,2,78
42,independent_latents,A,0.5384615384615384,0.0,0.0,logger1_heavy,0,78
36,independent_latents,B,0.46153846153846156,0.0,0.0,logger1_heavy,0,78
0,independent_latents,C,0.0,0.0,0.0,logger1_heavy,0,78
0,independent_latents,D,0.0,0.0,0.0,logger1_heavy,0,78
0,independent_latents,E,0.0,0.0,0.0,logger1_heavy,0,78
52,independent_latents,A,0.6666666666666666,0.0,0.0,logger1_heavy,1,78
26,independent_latents,B,0.3333333333333333,0.0,0.0,logger1_heavy,1,78
0,independent_latents,C,0.0,0.0,0.0,logger1_heavy,1,78
0,independent_latents,D,0.0,0.0,0.0,logger1_heavy,1,78
0,independent_latents,E,0.0,0.0,0.0,logger1_heavy,1,78
43,independent_latents,A,0.5512820512820513,0.0,0.0,logger1_heavy,2,78
35,independent_latents,B,0.44871794871794873,0.0,0.0,logger1_heavy,2,78
0,independent_latents,C,0.0,0.0,0.0,logger1_heavy,2,78
0,independent_latents,D,0.0,0.0,0.0,logger1_heavy,2,78
0,independent_latents,E,0.0,0.0,0.0,logger1_heavy,2,78
42,independent_latents,A,0.5384615384615384,0.0,0.0,logger12_balanced,0,78
36,independent_latents,B,0.46153846153846156,0.0,0.0,logger12_balanced,0,78
0,independent_latents,C,0.0,0.0,0.0,logger12_balanced,0,78
0,independent_latents,D,0.0,0.0,0.0,logger12_balanced,0,78
0,independent_latents,E,0.0,0.0,0.0,logger12_balanced,0,78
52,independent_latents,A,0.6666666666666666,0.0,0.0,logger12_balanced,1,78
26,independent_latents,B,0.3333333333333333,0.0,0.0,logger12_balanced,1,78
0,independent_latents,C,0.0,0.0,0.0,logger12_balanced,1,78
0,independent_latents,D,0.0,0.0,0.0,logger12_balanced,1,78
0,independent_latents,E,0.0,0.0,0.0,logger12_balanced,1,78
