comparison,condition,do_base_top_fraction,do_minus_top_fraction,do_plus_top_fraction,kappa,lambda_reward,mixture,model_seed,n_anchors,nn_base_top_fraction,nn_minus_top_fraction,nn_plus_top_fraction,obs_base_top_fraction,obs_minus_top_fraction,obs_plus_top_fraction,strict_disjoint_flip,top_set_disagreement
observational_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,0,78,,,,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0
neural_vs_observational,confounded,,,,0.0,0.0,logger1_heavy,0,78,0.14102564102564102,0.5384615384615384,0.32051282051282054,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.41025641025641024,0.41025641025641024
neural_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,0,78,0.14102564102564102,0.5384615384615384,0.32051282051282054,,,,0.41025641025641024,0.41025641025641024
observational_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,1,78,,,,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0
neural_vs_observational,confounded,,,,0.0,0.0,logger1_heavy,1,78,0.08974358974358974,0.6923076923076923,0.21794871794871795,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.2692307692307692,0.2692307692307692
neural_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,1,78,0.08974358974358974,0.6923076923076923,0.21794871794871795,,,,0.2692307692307692,0.2692307692307692
observational_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,2,78,,,,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0
neural_vs_observational,confounded,,,,0.0,0.0,logger1_heavy,2,78,0.15384615384615385,0.6153846153846154,0.23076923076923078,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.34615384615384615,0.34615384615384615
neural_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger1_heavy,2,78,0.15384615384615385,0.6153846153846154,0.23076923076923078,,,,0.34615384615384615,0.34615384615384615
observational_vs_do,confounded,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0,logger12_balanced,0,78,,,,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.0,0.0
neural_vs_observational,confounded,,,,0.0,0.0,logger12_balanced,0,78,0.14102564102564102,0.5384615384615384,0.32051282051282054,0.01282051282051282,0.9358974358974359,0.05128205128205128,0.41025641025641024,0.41025641025641024
