kappa,method,metric,n_paired_seeds,confounded_minus_independent,sd,ci95_low,ci95_high,exact_sign_flip_p,hedges_gz,holm_p_across_54_condition_gaps
0.0,pooled_mlp,mae,5,0.012827728564912258,0.000613308513350462,0.012066205464093115,0.0135892516657314,0.0625,16.732496987312654,1.0
0.0,pooled_mlp,top_set_disagreement,5,0.5941391585760518,0.013245714917216192,0.5776924312328738,0.6105858859192298,0.0625,35.88415799611185,1.0
0.0,pooled_mlp,mean_regret,5,0.0049567468885804164,8.66523071795471e-05,0.004849153838394279,0.005064339938766554,0.0625,45.762168832364374,1.0
0.0,source_balanced_pooled_mlp,mae,5,0.012827728564912258,0.000613308513350462,0.012066205464093115,0.0135892516657314,0.0625,16.732496987312654,1.0
0.0,source_balanced_pooled_mlp,top_set_disagreement,5,0.5941391585760518,0.013245714917216192,0.5776924312328738,0.6105858859192298,0.0625,35.88415799611185,1.0
0.0,source_balanced_pooled_mlp,mean_regret,5,0.0049567468885804164,8.66523071795471e-05,0.004849153838394279,0.005064339938766554,0.0625,45.762168832364374,1.0
0.0,source_conditioned_decoder,mae,5,0.012728572922551595,0.000919694497650521,0.011586621375472844,0.013870524469630345,0.0625,11.072000935152609,1.0
0.0,source_conditioned_decoder,top_set_disagreement,5,0.6256925566343041,0.03193778686060639,0.5860365565071839,0.6653485567614243,0.0625,15.672784325730815,1.0
0.0,source_conditioned_decoder,mean_regret,5,0.005059667012000612,0.0001651892773699399,0.004854557433401061,0.005264776590600162,0.0625,24.50360988344072,1.0
0.0,per_source_models,mae,5,0.010759651246889315,0.0010925279734322435,0.009403098595247976,0.012116203898530653,0.0625,7.878719087136753,1.0
0.0,per_source_models,top_set_disagreement,5,0.5958834951456311,0.016093949885715837,0.5759002169836421,0.6158667733076201,0.0625,29.620248571769526,1.0
0.0,per_source_models,mean_regret,5,0.004910517361390574,9.995738458275496e-05,0.004786403875599559,0.00503463084718159,0.0625,39.30088712815527,1.0
0.0,mechanism_separated,mae,5,0.01249514827259152,0.00042966483270962685,0.011961648918521733,0.013028647626661307,0.0625,23.264921532055485,1.0
0.0,mechanism_separated,top_set_disagreement,5,0.6028673139158578,0.024333073795267425,0.5726538122186388,0.6330808156130768,0.0625,19.820506656519832,1.0
0.0,mechanism_separated,mean_regret,5,0.004997578277578852,0.00012833436777262588,0.004838230113383341,0.005156926441774364,0.0625,31.153483602666576,1.0
0.0,oracle_u_aware,mae,5,0.0005503029375386291,0.000916677819935942,-0.0005879029094277451,0.0016885087845050033,0.25,0.48025853844883876,1.0
0.0,oracle_u_aware,top_set_disagreement,5,0.03470873786407765,0.03252849599837175,-0.005680724532815838,0.07509820026097114,0.125,0.8536204776468003,1.0
0.0,oracle_u_aware,mean_regret,5,0.0001319421740622191,0.00010426661750949104,2.4780688862016057e-06,0.00026140627923823664,0.0625,1.0123445237893813,1.0
0.0,source_shuffle,mae,5,0.012296270498502302,0.0006084091131228694,0.011540830806558551,0.013051710190446052,0.0625,16.16842382309161,1.0
0.0,source_shuffle,top_set_disagreement,5,0.6009093851132686,0.026499009020708852,0.5680065196241776,0.6338122506023597,0.0625,18.14133908611181,1.0
0.0,source_shuffle,mean_regret,5,0.005012211410865561,0.00013713150444349514,0.004841940158778553,0.005182482662952569,0.0625,29.24032041334943,1.0
0.0,no_behavior,mae,5,0.01271220554846017,0.0009400520630266982,0.011544976745362742,0.013879434351557599,0.0625,10.818299154649383,1.0
0.0,no_behavior,top_set_disagreement,5,0.6082847896440129,0.0295842844880344,0.5715510486826024,0.6450185306054234,0.0625,16.448862635566893,1.0
0.0,no_behavior,mean_regret,5,0.005024900347702963,0.0001527166293791373,0.004835277607075861,0.005214523088330066,0.0625,26.322740977882887,1.0
0.0,source_dependent_reward,mae,5,0.012665585470104651,0.0009306334049844251,0.011510051475609705,0.013821119464599598,0.0625,10.887711876464715,1.0
0.0,source_dependent_reward,top_set_disagreement,5,0.6225242718446603,0.031009124185006714,0.5840213587283077,0.6610271849610129,0.0625,16.0604154604446,1.0
0.0,source_dependent_reward,mean_regret,5,0.0050742031835713285,0.0001486441230246857,0.0048896371274670045,0.0052587692396756525,0.0625,27.309270385233557,1.0
0.3,pooled_mlp,mae,5,0.01152902587686242,0.0003439177651627044,0.011101995569517192,0.011956056184207647,0.0625,26.818099079954518,1.0
0.3,pooled_mlp,top_set_disagreement,5,0.47409385113268615,0.020103916338943907,0.449131541991719,0.4990561602736533,0.0625,18.865731159627025,1.0
0.3,pooled_mlp,mean_regret,5,0.00400830643726333,9.984961919519291e-05,0.0038843267598743037,0.004132286114652357,0.0625,32.11474591147006,1.0
0.3,source_balanced_pooled_mlp,mae,5,0.01152902587686242,0.0003439177651627044,0.011101995569517192,0.011956056184207647,0.0625,26.818099079954518,1.0
0.3,source_balanced_pooled_mlp,top_set_disagreement,5,0.47409385113268615,0.020103916338943907,0.449131541991719,0.4990561602736533,0.0625,18.865731159627025,1.0
0.3,source_balanced_pooled_mlp,mean_regret,5,0.00400830643726333,9.984961919519291e-05,0.0038843267598743037,0.004132286114652357,0.0625,32.11474591147006,1.0
0.3,source_conditioned_decoder,mae,5,0.011446256207050597,0.0007094056159300561,0.010565412793626678,0.012327099620474517,0.0625,12.907996159059607,1.0
0.3,source_conditioned_decoder,top_set_disagreement,5,0.5117087378640777,0.020484972284694924,0.48627328527397,0.5371441904541853,0.0625,19.983770766295606,1.0
0.3,source_conditioned_decoder,mean_regret,5,0.004128638389743182,0.0001274329665310984,0.003970409463017212,0.004286867316469152,0.0625,25.91880893699914,1.0
0.3,per_source_models,mae,5,0.009839127706484438,0.0009259856745577305,0.008689364631533674,0.010988890781435202,0.0625,8.500457816420372,1.0
0.3,per_source_models,top_set_disagreement,5,0.4941456310679612,0.016572037894051515,0.4735687282380489,0.5147225338978736,0.0625,23.854429212732292,1.0
0.3,per_source_models,mean_regret,5,0.004002581055423023,6.891697146478127e-05,0.003917009333089968,0.004088152777756078,0.0625,46.46264593874056,1.0
0.3,mechanism_separated,mae,5,0.011121863492854354,0.0006991919771768571,0.01025370198696094,0.011990024998747767,0.0625,12.725390285811173,1.0
0.3,mechanism_separated,top_set_disagreement,5,0.4729514563106797,0.014613167285004149,0.45480681259316097,0.4910961000281984,0.0625,25.891797285918525,1.0
0.3,mechanism_separated,mean_regret,5,0.003978063582447548,7.473544848880045e-05,0.0038852672666693923,0.0040708598982257035,0.0625,42.582883093756344,1.0
0.3,oracle_u_aware,mae,5,-0.00013917751791835234,0.0006104153539898487,-0.0008971082869183554,0.0006187532510816508,0.75,-0.1824036921858514,1.0
0.3,oracle_u_aware,top_set_disagreement,5,0.024184466019417494,0.0149585846846606,0.0056109299523921866,0.0427580020864428,0.0625,1.2934093180201813,1.0
0.3,oracle_u_aware,mean_regret,5,0.00011033306762985521,3.7236437484084136e-05,6.40979237845027e-05,0.00015656821147520773,0.0625,2.3704322987829234,1.0
0.3,source_shuffle,mae,5,0.011175803647593205,0.0008124176178690162,0.010167053939978783,0.012184553355207626,0.0625,11.004984039521455,1.0
0.3,source_shuffle,top_set_disagreement,5,0.4888414239482201,0.021823673245883416,0.4617437545702439,0.5159390933261963,0.0625,17.91967533386452,1.0
0.3,source_shuffle,mean_regret,5,0.004063853622322508,0.00011879911496999128,0.0039163450382458,0.004211362206399216,0.0625,27.366221530179175,1.0
0.3,no_behavior,mae,5,0.011486773888067302,0.0008083398933779601,0.010483087344148018,0.012490460431986587,0.0625,11.368261279363944,1.0
0.3,no_behavior,top_set_disagreement,5,0.5039320388349514,0.016439110128173697,0.48352018762629123,0.5243438900436116,0.0625,24.523567755473675,1.0
0.3,no_behavior,mean_regret,5,0.004157543010125199,0.00013418623579597135,0.00399092879208286,0.004324157228167538,0.0625,24.786703258874905,1.0
0.3,source_dependent_reward,mae,5,0.010889644726018444,0.0004775598864481636,0.01029667580802948,0.011482613644007407,0.0625,18.242143086195668,1.0
0.3,source_dependent_reward,top_set_disagreement,5,0.5062265372168284,0.02705132240853763,0.47263788407834445,0.5398151903553124,0.0625,14.970847770667476,1.0
0.3,source_dependent_reward,mean_regret,5,0.004131700644295371,0.00015880371606815605,0.003934519787272568,0.004328881501318173,0.0625,20.814125747647417,1.0
