method,metric,n_paired_seeds,difference_in_differences,sd,ci95_low,ci95_high,exact_sign_flip_p,hedges_gz,holm_p_across_27_interactions
pooled_mlp,mae,5,-0.0012987026880498388,0.0004491328279236688,-0.0018563747508941056,-0.0007410306252055719,0.0625,-2.3132625491727477,1.0
pooled_mlp,top_set_disagreement,5,-0.12004530744336565,0.01340313053775508,-0.13668749209532163,-0.10340312279140969,0.0625,-7.165210074181509,1.0
pooled_mlp,mean_regret,5,-0.000948440451317086,2.8420185246969744e-05,-0.00098372877216053,-0.0009131521304736418,0.0625,-26.697657121519626,1.0
source_balanced_pooled_mlp,mae,5,-0.0012987026880498388,0.0004491328279236688,-0.0018563747508941056,-0.0007410306252055719,0.0625,-2.3132625491727477,1.0
source_balanced_pooled_mlp,top_set_disagreement,5,-0.12004530744336565,0.01340313053775508,-0.13668749209532163,-0.10340312279140969,0.0625,-7.165210074181509,1.0
source_balanced_pooled_mlp,mean_regret,5,-0.000948440451317086,2.8420185246969744e-05,-0.00098372877216053,-0.0009131521304736418,0.0625,-26.697657121519626,1.0
source_conditioned_decoder,mae,5,-0.0012823167155009984,0.0005343488578946909,-0.0019457984548301365,-0.0006188349761718603,0.0625,-1.9198195284679984,1.0
source_conditioned_decoder,top_set_disagreement,5,-0.1139838187702265,0.01484822214199947,-0.13242032164127926,-0.09554731589917374,0.0625,-6.14127766571129,1.0
source_conditioned_decoder,mean_regret,5,-0.0009310286222574292,9.18074117793137e-05,-0.0010450225802320714,-0.0008170346642827869,0.0625,-8.112884171011657,1.0
per_source_models,mae,5,-0.0009205235404048763,0.00025632392102761364,-0.0012387917250232896,-0.000602255355786463,0.0625,-2.8730008083973053,1.0
per_source_models,top_set_disagreement,5,-0.10173786407766987,0.008091121343371758,-0.11178431815483267,-0.09169141000050707,0.0625,-10.05921031314291,1.0
per_source_models,mean_regret,5,-0.0009079363059675517,4.215061870505266e-05,-0.0009602732117156298,-0.0008555994002194735,0.0625,-17.232227357245716,1.0
mechanism_separated,mae,5,-0.0013732847797371657,0.00040910032768944673,-0.001881249928282515,-0.0008653196311918163,0.0625,-2.6854728520865794,1.0
mechanism_separated,top_set_disagreement,5,-0.12991585760517804,0.02620412000742197,-0.16245257002300492,-0.09737914518735116,0.0625,-3.966272710348788,1.0
mechanism_separated,mean_regret,5,-0.0010195146951313034,0.0001293403798400644,-0.0011801119882927117,-0.0008589174019698953,0.0625,-6.305932896699282,1.0
oracle_u_aware,mae,5,-0.0006894804554569815,0.0007785736038720411,-0.0016562072693366554,0.00027724635842269244,0.1875,-0.7084550023561271,1.0
oracle_u_aware,top_set_disagreement,5,-0.01052427184466016,0.02754962265445242,-0.044731646458792615,0.023683102769472292,0.4375,-0.30560917589800196,1.0
oracle_u_aware,mean_regret,5,-2.1609106432363895e-05,8.313416179766514e-05,-0.00012483380215737162,8.161558929264384e-05,0.5625,-0.20794442106682354,1.0
source_shuffle,mae,5,-0.0011204668509090941,0.00036270457656275234,-0.0015708240656108054,-0.0006701096362073829,0.0625,-2.471359719863341,1.0
source_shuffle,top_set_disagreement,5,-0.1120679611650485,0.022138250625106787,-0.13955622994945563,-0.08457969238064136,0.0625,-4.049749478866348,1.0
source_shuffle,mean_regret,5,-0.0009483577885430529,0.00010676827898555566,-0.0010809281167095933,-0.0008157874603765127,0.0625,-7.105914210128671,1.0
no_behavior,mae,5,-0.0012254316603928686,0.0005264879425175208,-0.0018791527841052482,-0.0005717105366804889,0.0625,-1.8620470653640284,1.0
no_behavior,top_set_disagreement,5,-0.10435275080906145,0.018793200982794113,-0.12768759188040454,-0.08101790973771836,0.0625,-4.442149090177893,1.0
no_behavior,mean_regret,5,-0.0008673573375777638,0.00012064872650736843,-0.0010171625177110956,-0.000717552157444432,0.0625,-5.751290462397323,1.0
source_dependent_reward,mae,5,-0.0017759407440862088,0.0011049723038449655,-0.0031479450727827755,-0.0004039364153896419,0.0625,-1.2857811823203014,1.0
source_dependent_reward,top_set_disagreement,5,-0.11629773462783181,0.01848859836490159,-0.13925436159477914,-0.09334110766088449,0.0625,-5.032192590590719,1.0
source_dependent_reward,mean_regret,5,-0.0009425025392759568,9.690054290195988e-05,-0.00106282045480372,-0.0008221846237481937,0.0625,-7.781195118624204,1.0
