metric,contrast,comparator,n_paired_seeds,mechanism_auc_mean,comparator_auc_mean,improvement_mean,improvement_sd,improvement_ci95_low,improvement_ci95_high,relative_improvement,hedges_gz,shapiro_w,shapiro_p,exact_sign_flip_p,holm_p_across_24_contrasts
mae,pooled_mlp - mechanism_separated,pooled_mlp,5,0.024796486471762354,0.025296642294031148,0.0005001558222687927,0.00016376309012176428,0.0002968170890299992,0.0007034945555075863,0.019771628837349953,2.443314042972234,0.9248509207379627,0.5617031787693978,0.0625,1.0
mae,source_balanced_pooled_mlp - mechanism_separated,source_balanced_pooled_mlp,5,0.024796486471762354,0.025296642294031148,0.0005001558222687927,0.00016376309012176428,0.0002968170890299992,0.0007034945555075863,0.019771628837349953,2.443314042972234,0.9248509207379627,0.5617031787693978,0.0625,1.0
mae,source_conditioned_decoder - mechanism_separated,source_conditioned_decoder,5,0.024796486471762354,0.024443794649618735,-0.00035269182214362133,0.0007137397751718371,-0.0012389168050605417,0.0005335331607732992,-0.014428685365720109,-0.39531698740898524,0.8810059828456231,0.3138945156944962,0.3125,1.0
mae,per_source_models - mechanism_separated,per_source_models,5,0.024796486471762354,0.021960075188255504,-0.0028364112835068513,0.00040890148150901065,-0.003344129531908773,-0.0023286930351049295,-0.12916218451855738,-5.549329433660851,0.937622329804002,0.6491806864152808,0.0625,1.0
mae,oracle_u_aware - mechanism_separated,oracle_u_aware,5,0.024796486471762354,0.010500713916674974,-0.014295772555087382,0.0009019264192374199,-0.015415662118883323,-0.013175882991291441,-1.3614095830556734,-12.680211822312051,0.8846484760336716,0.3309088386413158,0.0625,1.0
mae,source_shuffle - mechanism_separated,source_shuffle,5,0.024796486471762354,0.024729613566310572,-6.687290545178207e-05,0.00040187930994544627,-0.0005658719762340156,0.0004321261653304515,-0.0027041629774144055,-0.13312037479283986,0.9860849665443029,0.9642772742041174,0.75,1.0
mae,no_behavior - mechanism_separated,no_behavior,5,0.024796486471762354,0.024753410520610454,-4.3075951151905904e-05,0.0003825568275853391,-0.0005180829912316671,0.00043193108892785524,-0.001740202672922163,-0.09008010950696566,0.9109005735046504,0.4730212085850764,0.875,1.0
mae,source_dependent_reward - mechanism_separated,source_dependent_reward,5,0.024796486471762354,0.02428247049777614,-0.0005140159739862142,0.0009342333612764155,-0.001674019904604032,0.0006459879566316036,-0.02116819102213217,-0.44016066673870813,0.9804700947284632,0.9371183023256122,0.3125,1.0
top_set_disagreement,pooled_mlp - mechanism_separated,pooled_mlp,5,0.7940582524271845,0.7985501618122978,0.004491909385113302,0.01254583661456168,-0.011085804266534563,0.020069623036761165,0.005625081053041152,0.28643187525012975,0.9804032004036093,0.9367645191590186,0.5,1.0
top_set_disagreement,source_balanced_pooled_mlp - mechanism_separated,source_balanced_pooled_mlp,5,0.7940582524271845,0.7985501618122978,0.004491909385113302,0.01254583661456168,-0.011085804266534563,0.020069623036761165,0.005625081053041152,0.28643187525012975,0.9804032004036093,0.9367645191590186,0.5,1.0
top_set_disagreement,source_conditioned_decoder - mechanism_separated,source_conditioned_decoder,5,0.7940582524271845,0.7914498381877022,-0.002608414239482193,0.0026635798422146944,-0.005915685435901447,0.0006988569569370616,-0.003295741705444098,-0.7834311397441325,0.9863012730590462,0.9652123098289976,0.125,1.0
top_set_disagreement,per_source_models - mechanism_separated,per_source_models,5,0.7940582524271845,0.7931229773462783,-0.0009352750809061394,0.00679411667293889,-0.009371285153290313,0.0075007349914780344,-0.0011792308476996718,-0.11012764436399625,0.9596495644086067,0.805540843963727,0.6875,1.0
top_set_disagreement,oracle_u_aware - mechanism_separated,oracle_u_aware,5,0.7940582524271845,0.2809902912621359,-0.5130679611650486,0.010616820409555777,-0.526250484842989,-0.49988543748710823,-1.8259277175039736,-38.66076217721506,0.8491588826407844,0.1918744707092992,0.0625,1.0
top_set_disagreement,source_shuffle - mechanism_separated,source_shuffle,5,0.7940582524271845,0.7955566343042072,0.001498381877022692,0.0026339046157340795,-0.0017720426590370404,0.004768806413082425,0.0018834383529881247,0.45510588897467336,0.9754773239701323,0.9090983631344881,0.3125,1.0
top_set_disagreement,no_behavior - mechanism_separated,no_behavior,5,0.7940582524271845,0.7959579288025889,0.0018996763754045131,0.008099918598870208,-0.00815770093719372,0.011957053688002746,0.002386654252269739,0.18762424359864394,0.8401070298284286,0.16521794175626547,0.625,1.0
top_set_disagreement,source_dependent_reward - mechanism_separated,source_dependent_reward,5,0.7940582524271845,0.7933074433656958,-0.000750809061488722,0.009796084965571437,-0.012914255086583958,0.011412636963606514,-0.0009464288628168296,-0.061315030576191004,0.9377997790805815,0.65042743023506,0.9375,1.0
mean_regret,pooled_mlp - mechanism_separated,pooled_mlp,5,0.005095444387860037,0.005138483096367083,4.3038708507046364e-05,0.00011380155573192263,-9.826458618486145e-05,0.0001843420031989542,0.008375761426066539,0.3025526899363715,0.9775576669170629,0.9211507502708038,0.5,1.0
mean_regret,source_balanced_pooled_mlp - mechanism_separated,source_balanced_pooled_mlp,5,0.005095444387860037,0.005138483096367083,4.3038708507046364e-05,0.00011380155573192263,-9.826458618486145e-05,0.0001843420031989542,0.008375761426066539,0.3025526899363715,0.9775576669170629,0.9211507502708038,0.5,1.0
mean_regret,source_conditioned_decoder - mechanism_separated,source_conditioned_decoder,5,0.005095444387860037,0.005072275272344943,-2.3169115515093464e-05,4.906765746512687e-05,-8.409465926573578e-05,3.775642823554886e-05,-0.004567795372111625,-0.3777496903178654,0.9341982078400395,0.6252650199363059,0.3125,1.0
mean_regret,per_source_models - mechanism_separated,per_source_models,5,0.005095444387860037,0.005061357930108386,-3.408645775165101e-05,7.533762004471085e-05,-0.0001276304682715229,5.945755276822088e-05,-0.006734646753370605,-0.36195948564790464,0.9008581252158834,0.41464657271131283,0.5,1.0
mean_regret,oracle_u_aware - mechanism_separated,oracle_u_aware,5,0.005095444387860037,0.0008721498369320413,-0.004223294550927995,4.997174625559295e-05,-0.004285342669180938,-0.0041612464326750516,-4.842395620670256,-67.61091804680034,0.9491907155649971,0.7314053959658672,0.0625,1.0
mean_regret,source_shuffle - mechanism_separated,source_shuffle,5,0.005095444387860037,0.005106223000800979,1.0778612940942623e-05,3.5044703430495105e-05,-3.273513363643118e-05,5.4292359518316425e-05,0.00211087783264692,0.2460540255350158,0.8742861223289133,0.2842155052885797,0.75,1.0
mean_regret,no_behavior - mechanism_separated,no_behavior,5,0.005095444387860037,0.0051209269562770025,2.548256841696586e-05,7.871137974975984e-05,-7.225051806725592e-05,0.00012321565490118765,0.0049761632287549954,0.25899755281109643,0.9269124858932786,0.5754724703473784,0.5625,1.0
mean_regret,source_dependent_reward - mechanism_separated,source_dependent_reward,5,0.005095444387860037,0.0050933262955544425,-2.1180923055939827e-06,0.0001041392629204363,-0.00013142406587337617,0.0001271878812621882,-0.00041585639377604696,-0.01627122947633867,0.9816992981658542,0.9435022581607602,0.8125,1.0
