method,metric,n_seed_dose_cells,mean,sd,ci95_low,ci95_high
pooled_mlp,conditional_mean_regret,35,0.004473059006548935,0.0018763900870665106,0.0038284964597975427,0.005117621553300327
pooled_mlp,p90_regret,35,0.007187017251405667,0.004606881138013017,0.005604498211592935,0.008769536291218398
pooled_mlp,max_regret,35,0.01373718190472538,0.002973079838681101,0.012715893247465714,0.014758470561985048
pooled_mlp,top_1pct_regret_contribution,35,0.09803269168415892,0.06631517111324296,0.07525263338197971,0.12081274998633812
source_balanced_pooled_mlp,conditional_mean_regret,35,0.004473059006548935,0.0018763900870665106,0.0038284964597975427,0.005117621553300327
source_balanced_pooled_mlp,p90_regret,35,0.007187017251405667,0.004606881138013017,0.005604498211592935,0.008769536291218398
source_balanced_pooled_mlp,max_regret,35,0.01373718190472538,0.002973079838681101,0.012715893247465714,0.014758470561985048
source_balanced_pooled_mlp,top_1pct_regret_contribution,35,0.09803269168415892,0.06631517111324296,0.07525263338197971,0.12081274998633812
source_conditioned_decoder,conditional_mean_regret,35,0.0043694276938628885,0.0019412049973047607,0.003702600446451122,0.005036254941274655
source_conditioned_decoder,p90_regret,35,0.006890041280197225,0.004729743637767095,0.005265317495066564,0.008514765065327886
source_conditioned_decoder,max_regret,35,0.013324533446862383,0.003824444005501166,0.012010790965975706,0.01463827592774906
source_conditioned_decoder,top_1pct_regret_contribution,35,0.10375926726414884,0.07119206091352809,0.07930393870150261,0.12821459582679506
per_source_models,conditional_mean_regret,35,0.004400942824861499,0.0018738098753544748,0.0037572666118440845,0.005044619037878914
per_source_models,p90_regret,35,0.006934443281013882,0.004508264618418413,0.0053858002009281765,0.008483086361099587
per_source_models,max_regret,35,0.01238844524462394,0.0035891752389846385,0.011155520412669756,0.013621370076578125
per_source_models,top_1pct_regret_contribution,35,0.09486162887767167,0.06334682975241474,0.07310123150865915,0.1166220262466842
mechanism_separated,conditional_mean_regret,35,0.004432868571211028,0.0019011355625322343,0.003779805656227731,0.0050859314861943245
mechanism_separated,p90_regret,35,0.007064308237431763,0.0045643198379211585,0.005496409515733772,0.008632206959129753
mechanism_separated,max_regret,35,0.013140491290086688,0.003612825557899667,0.011899442289338164,0.014381540290835212
mechanism_separated,top_1pct_regret_contribution,35,0.09396419399817302,0.059687437392536305,0.07346084188606299,0.11446754611028305
oracle_u_aware,conditional_mean_regret,35,0.0030784606949654345,0.00020715863252747873,0.003007299214906563,0.0031496221750243057
oracle_u_aware,p90_regret,35,0.003415744470159803,0.00037940751875280895,0.0032854134274680025,0.0035460755128516037
oracle_u_aware,max_regret,35,0.01156031824851966,0.0024025721599615635,0.010735005835683445,0.012385630661355874
oracle_u_aware,top_1pct_regret_contribution,35,0.1419249611898225,0.017568449778613958,0.13588998754024367,0.14795993483940134
source_shuffle,conditional_mean_regret,35,0.004468321450502415,0.0018778944881296792,0.0038232421239048197,0.00511340077710001
source_shuffle,p90_regret,35,0.007119802030067772,0.004571777706749294,0.005549341440793133,0.008690262619342411
source_shuffle,max_regret,35,0.01331660103978913,0.0034140798842708653,0.012143823566604619,0.01448937851297364
source_shuffle,top_1pct_regret_contribution,35,0.09521660199955301,0.06474136416885636,0.07297716529794662,0.1174560387011594
no_behavior,conditional_mean_regret,35,0.004406614109398347,0.0019481350597065493,0.00373740630226095,0.0050758219165357435
no_behavior,p90_regret,35,0.007089744662842648,0.0046886340939266595,0.0054791425001060835,0.008700346825579214
no_behavior,max_regret,35,0.013526562585124552,0.0032351802212156255,0.012415239296348,0.014637885873901104
no_behavior,top_1pct_regret_contribution,35,0.10047059256746188,0.06887825289878186,0.07681008486693724,0.12413110026798652
source_dependent_reward,conditional_mean_regret,35,0.0043976066731638225,0.0019240307971894602,0.003736678969903903,0.005058534376423742
source_dependent_reward,p90_regret,35,0.006900303635596385,0.004741978546515585,0.005271377012262434,0.008529230258930336
source_dependent_reward,max_regret,35,0.012996825353771932,0.0035089258845153563,0.01179146713957405,0.014202183567969814
source_dependent_reward,top_1pct_regret_contribution,35,0.11005606334239144,0.08751169656028043,0.07999474379363283,0.14011738289115006
