comparison,metric,left_mean,right_mean,relative_difference_percent,n_model_seeds,mean_difference,sd_difference,ci95_low,ci95_high,paired_dz,exact_sign_flip_p,negative_seeds,positive_seeds,zero_seeds,per_seed_differences
"Lambda=0 correct - pooled, B=16",do_mae,0.037037360923364286,0.03330953417075552,11.191470686737048,3,0.003727826752608765,0.0005861178690478452,0.0022718292505215145,0.005183824254696015,6.360199798488757,0.25,0,3,0,"[0.00439315649118293, 0.0032877541990350735, 0.0035025695676082907]"
"Lambda=0 correct - pooled, B=16",top_set_disagreement,0.5887445887445888,0.5021645021645021,17.241379310344833,3,0.08658008658008659,0.07819576754933741,-0.10766896849579041,0.2808291416559636,1.1072221591208133,0.25,0,3,0,"[0.17402597402597403, 0.06233766233766236, 0.023376623376623384]"
"Lambda=0 correct - pooled, B=16",mean_regret,0.0021586274196663505,0.001989579132240325,8.49668579081208,3,0.00016904828742602597,0.0004197691677383061,-0.0008737161324219662,0.001211812707274018,0.4027172560977957,0.75,1,2,0,"[0.000585579286113513, -0.0002538857926020219, 0.0001754513687665868]"
"Lambda=0 correct - pooled, B=64",do_mae,0.030023203418462773,0.029371825002260932,2.2176981381024232,3,0.0006513784162018426,0.0009083065806364767,-0.0016049802146730777,0.002907737047076763,0.7171349741244888,0.5,1,2,0,"[-0.00039715180568156844, 0.0011970707242391077, 0.0011542163300479885]"
"Lambda=0 correct - pooled, B=64",top_set_disagreement,0.4683982683982684,0.4848484848484848,-3.392857142857137,3,-0.01645021645021642,0.08755725624309256,-0.2339544986292495,0.20105406572881668,-0.1878795334169027,1.0,1,2,0,"[0.010389610389610393, -0.11428571428571421, 0.054545454545454564]"
"Lambda=0 correct - pooled, B=64",mean_regret,0.0018263242561550683,0.0018470627543545638,-1.1227825449137174,3,-2.073849819949558e-05,0.0002456275768784251,-0.0006309112249919919,0.0005894342285930007,-0.0844306590613815,1.0,1,2,0,"[4.185269968591597e-05, -0.0002916059297595158, 0.0001875377354751131]"
"Independent correct - shuffle, B=64",do_mae,0.03411072806289291,0.03330331503070399,2.424422407933056,3,0.000807413032188925,0.0008582419159195367,-0.0013245780770318313,0.0029394041414096813,0.940775575292017,0.5,1,2,0,"[-7.894068332895549e-05, 0.0008667122994558268, 0.0016344674804399037]"
"Independent correct - shuffle, B=64",top_set_disagreement,0.4883116883116883,0.42857142857142855,13.939393939393959,3,0.059740259740259816,0.04725559843807864,-0.057649154435516076,0.1771296739160357,1.2641943328374192,0.25,0,3,0,"[0.0051948051948051965, 0.08571428571428585, 0.0883116883116884]"
"Independent correct - shuffle, B=64",mean_regret,0.0016433560375188605,0.0014272733945459657,15.139541155787706,3,0.00021608264297289472,0.0002246272297165836,-0.0003419223294730603,0.0007740876154188497,0.9619610376067508,0.25,0,3,0,"[1.7275300884104713e-05, 0.000171215309034168, 0.00045975731900041146]"
"Independent correct - pooled, B=64",do_mae,0.03411072806289291,0.03280493799506059,3.980468025968936,3,0.0013057900678323218,0.0008373577710153828,-0.0007743219494524163,0.0033859020851170598,1.5594171488358155,0.25,0,3,0,"[0.0018954918603573123, 0.0016745330862491734, 0.00034734525689048]"
"Independent correct - pooled, B=64",top_set_disagreement,0.4883116883116883,0.4380952380952381,11.46245059288538,3,0.050216450216450235,0.09326568318265104,-0.18146835059844485,0.28190125103134533,0.5384236570497918,0.75,1,2,0,"[-0.02077922077922084, 0.01558441558441559, 0.15584415584415595]"
"Independent correct - pooled, B=64",mean_regret,0.0016433560375188605,0.0014507933489969272,13.272923304691897,3,0.0001925626885219332,0.00033328378535332114,-0.0006353601314202904,0.0010204855084641569,0.5777739481619049,0.5,1,2,0,"[-6.055486841740547e-05, 6.80702603499412e-05, 0.0005701726736332638]"
