comparison,metric,left_mean,right_mean,relative_difference_percent,favorable_direction,n_model_seeds,mean_difference,sd_difference,ci95_low,ci95_high,paired_dz,exact_sign_flip_p,negative_seeds,positive_seeds,zero_seeds,per_seed_differences,holm_p_across_12_primary_tests
"Correct - Shuffle, M=5 diverse",do_mae,0.03817735923552848,0.037014684910199235,3.141116365437101,negative,3,0.0011626743253292451,0.004018494198298642,-0.00881981865748974,0.01114516730814823,0.28933084582316937,0.75,1,2,0,"[0.0003148471319793858, 0.005537434338839714, -0.0023642584948313644]",1.0
"Correct - Shuffle, M=5 diverse",top_set_disagreement,0.3904761904761905,0.3844155844155844,1.5765765765765725,negative,3,0.006060606060606044,0.09942772100402136,-0.24093154528816263,0.2530527574093747,0.060954892653739115,1.0,2,1,0,"[-0.007792207792207795, 0.11168831168831161, -0.08571428571428569]",1.0
"Correct - Shuffle, M=5 diverse",mean_regret,0.001341130715617953,0.0013370782143757168,0.3030863264890178,negative,3,4.052501242236314e-06,0.00036973234542789376,-0.0009144135613236356,0.0009225185638081083,0.010960634881826007,1.0,2,1,0,"[-3.952670815024397e-05, 0.00039364320250720084, -0.0003419589906302479]",1.0
M=5 diverse - M=2 diverse,do_mae,0.03817735923552848,0.03531899688690208,8.09298847806862,negative,3,0.0028583623486263996,0.0016805472830045637,-0.0013163485336217932,0.007033073230874593,1.700852084040195,0.25,0,3,0,"[0.0019863670671326633, 0.00479567852392998, 0.0017930414548165546]",1.0
M=5 diverse - M=2 diverse,top_set_disagreement,0.3904761904761905,0.3878787878787879,0.6696428571428622,negative,3,0.002597402597402617,0.048104569292083454,-0.11690097209306284,0.12209577728786807,0.053994924715604305,1.0,1,1,1,"[0.0, 0.051948051948051965, -0.044155844155844115]",1.0
M=5 diverse - M=2 diverse,mean_regret,0.001341130715617953,0.0012808216219162788,4.708625515818819,negative,3,6.030909370167435e-05,0.00013687365954612567,-0.0002797039257349191,0.00040032211313826774,0.440618698306598,0.75,1,2,0,"[2.9946900857739846e-05, 0.00020981443072015313, -5.883405047286993e-05]",1.0
M=5 redundant - M=5 diverse,do_mae,0.035077472348775125,0.03817735923552848,-8.119699604231794,negative,3,-0.0030998868867533566,0.000868954136510244,-0.005258488627121078,-0.000941285146385635,-3.5673768689365257,0.25,3,0,0,"[-0.0029844014895844817, -0.004020808960461426, -0.002294450210214162]",1.0
M=5 redundant - M=5 diverse,top_set_disagreement,0.4329004329004329,0.3904761904761905,10.864745011086473,negative,3,0.04242424242424242,0.0691774349971885,-0.12942203266089333,0.21427051750937817,0.6132670635441546,0.5,1,2,0,"[-0.0025974025974025983, 0.007792207792207795, 0.12207792207792206]",1.0
M=5 redundant - M=5 diverse,mean_regret,0.0014195999957920165,0.001341130715617953,5.850979271465517,negative,3,7.846928017406359e-05,0.00020875141959007153,-0.00044009799363055183,0.000597036553978679,0.3758981870789428,0.75,1,2,0,"[1.2907565987868271e-05, -8.963142337391856e-05, 0.00031213169790824107]",1.0
B=64 - B=0,do_mae,0.03817735923552848,0.036374404990467804,4.956656323404208,negative,3,0.001802954245060678,0.003910921594946916,-0.007912313577011073,0.011518222067132428,0.46100495785703677,0.75,1,2,0,"[0.0008220967365275486, 0.0061109406783659975, -0.0015241746797115124]",1.0
B=64 - B=0,top_set_disagreement,0.3904761904761905,0.9047619047619048,-56.84210526315789,negative,3,-0.5142857142857142,0.22534619456357363,-1.0740766944215672,0.0455052658501387,-2.282202791494783,0.25,3,0,0,"[-0.5584415584415584, -0.2701298701298702, -0.7142857142857142]",1.0
B=64 - B=0,mean_regret,0.001341130715617953,0.005457947891777104,-75.42793111604291,negative,3,-0.004116817176159151,0.0007572909248474189,-0.005998032121409657,-0.0022356022309086444,-5.436242586676473,0.25,3,0,0,"[-0.004144766899159898, -0.0033459383216752577, -0.004859746307642296]",1.0
