scenario,lambda_reward,condition,method,budget,rank1_selection_rate,rank1_selections_out_of_15,per_seed_rates
positive_control,0.05,confounded,MSCSC_correct_source,16,0.20000000000000004,3,"[0.2, 0.2, 0.2]"
positive_control,0.05,confounded,MSCSC_correct_source,64,0.13333333333333333,2,"[0.0, 0.4, 0.0]"
positive_control,0.05,confounded,MSCSC_source_shuffle,16,0.20000000000000004,3,"[0.4, 0.2, 0.0]"
positive_control,0.05,confounded,MSCSC_source_shuffle,64,0.13333333333333333,2,"[0.0, 0.2, 0.2]"
lambda_zero,0.0,confounded,MSCSC_correct_source,16,0.26666666666666666,4,"[0.4, 0.2, 0.2]"
lambda_zero,0.0,confounded,MSCSC_correct_source,64,0.20000000000000004,3,"[0.0, 0.4, 0.2]"
lambda_zero,0.0,confounded,MSCSC_source_shuffle,16,0.26666666666666666,4,"[0.4, 0.2, 0.2]"
lambda_zero,0.0,confounded,MSCSC_source_shuffle,64,0.20000000000000004,3,"[0.2, 0.4, 0.0]"
independent_latents,0.05,independent_latents,MSCSC_correct_source,16,0.06666666666666667,1,"[0.2, 0.0, 0.0]"
independent_latents,0.05,independent_latents,MSCSC_correct_source,64,0.06666666666666667,1,"[0.0, 0.0, 0.2]"
independent_latents,0.05,independent_latents,MSCSC_source_shuffle,16,0.20000000000000004,3,"[0.0, 0.4, 0.2]"
independent_latents,0.05,independent_latents,MSCSC_source_shuffle,64,0.0,0,"[0.0, 0.0, 0.0]"
