condition,seed,baseline,metric,anchor_count,mean_action_minus_baseline,median_action_minus_baseline,fraction_action_better,fraction_equal
confounded,0,state,do_mae,77,-0.16891254785994209,-0.05374254499162934,0.7012987012987013,0.12987012987012986
confounded,0,state,top_action_disagreement,77,-0.03896103896103896,0.0,0.03896103896103896,0.961038961038961
confounded,0,state,regret_mean,77,-6.182782061688311e-05,0.0,0.15584415584415584,0.6753246753246753
confounded,0,state,phi_mae,77,-0.26542742840655437,0.0,0.38961038961038963,0.5974025974025974
confounded,0,pooled,do_mae,77,-0.4643685087865712,-0.3684272766113281,0.5974025974025974,0.0
confounded,0,pooled,top_action_disagreement,77,0.0,0.0,0.06493506493506493,0.8701298701298701
confounded,0,pooled,regret_mean,77,-0.22137966403713474,0.0,0.37662337662337664,0.2987012987012987
confounded,0,pooled,phi_mae,77,-0.6278732101638596,-0.47442626953125,0.5714285714285714,0.0
confounded,0,envelope_structure,within_state_source_switch_fraction,77,0.8701298701298701,,,
confounded,0,envelope_structure,state_minus_action_phi_gap,77,0.271859107079444,0.0,0.4025974025974026,0.5974025974025974
confounded,1,state,do_mae,77,-0.08118433412682811,0.0,0.4025974025974026,0.4675324675324675
confounded,1,state,top_action_disagreement,77,0.012987012987012988,0.0,0.0,0.987012987012987
confounded,1,state,regret_mean,77,-0.022523062569754466,0.0,0.07792207792207792,0.8311688311688312
confounded,1,state,phi_mae,77,-0.06581046364524147,0.0,0.19480519480519481,0.7662337662337663
confounded,1,pooled,do_mae,77,-0.9272287754490559,-0.9324122837611607,0.6623376623376623,0.0
confounded,1,pooled,top_action_disagreement,77,0.012987012987012988,0.0,0.03896103896103896,0.9090909090909091
confounded,1,pooled,regret_mean,77,0.23107375107802353,0.0,0.2727272727272727,0.24675324675324675
confounded,1,pooled,phi_mae,77,-1.443124449098265,-1.834503173828125,0.6493506493506493,0.0
confounded,1,envelope_structure,within_state_source_switch_fraction,77,0.5324675324675324,,,
confounded,1,envelope_structure,state_minus_action_phi_gap,77,0.0910544457373681,0.0,0.23376623376623376,0.7662337662337663
confounded,2,state,do_mae,77,-0.10980431268299225,-0.012164524623325956,0.5844155844155844,0.24675324675324675
confounded,2,state,top_action_disagreement,77,0.012987012987012988,0.0,0.012987012987012988,0.961038961038961
confounded,2,state,regret_mean,77,0.02261580430067979,0.0,0.07792207792207792,0.7792207792207793
confounded,2,state,phi_mae,77,-0.09117453438895089,0.0,0.3116883116883117,0.6623376623376623
confounded,2,pooled,do_mae,77,-1.0412589729606334,-0.9526574271065849,0.7012987012987013,0.0
confounded,2,pooled,top_action_disagreement,77,-0.03896103896103896,0.0,0.06493506493506493,0.9090909090909091
confounded,2,pooled,regret_mean,77,-0.10277814988966112,0.0,0.2857142857142857,0.5064935064935064
confounded,2,pooled,phi_mae,77,-1.88396929456042,-2.301422119140625,0.7142857142857143,0.0
confounded,2,envelope_structure,within_state_source_switch_fraction,77,0.7532467532467533,,,
confounded,2,envelope_structure,state_minus_action_phi_gap,77,0.13582531817547686,0.0,0.33766233766233766,0.6623376623376623
independent_latents,0,state,do_mae,77,-0.23992519343275306,-0.07849448067801346,0.7272727272727273,0.16883116883116883
independent_latents,0,state,top_action_disagreement,77,-0.012987012987012988,0.0,0.06493506493506493,0.8831168831168831
independent_latents,0,state,regret_mean,77,-0.14993722098214285,0.0,0.24675324675324675,0.6363636363636364
independent_latents,0,state,phi_mae,77,-0.3090848055752841,-0.013824462890625,0.5064935064935064,0.4935064935064935
independent_latents,0,pooled,do_mae,77,-0.5764264582702976,-0.36950356619698654,0.6233766233766234,0.0
independent_latents,0,pooled,top_action_disagreement,77,-0.03896103896103896,0.0,0.09090909090909091,0.8571428571428571
independent_latents,0,pooled,regret_mean,77,-0.29273570667613635,0.0,0.4155844155844156,0.2727272727272727
independent_latents,0,pooled,phi_mae,77,-0.7004469834364854,-0.5982513427734375,0.5974025974025974,0.0
independent_latents,0,envelope_structure,within_state_source_switch_fraction,77,0.8311688311688312,,,
independent_latents,0,envelope_structure,state_minus_action_phi_gap,77,0.3090848055752841,0.013824462890625,0.5064935064935064,0.4935064935064935
