family,kappa,condition,action,mixture,metric,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,numerator_mean,denominator_mean,pointwise_ratios_computed
u_outcome_effect,0.0,do_oracle,minus,none,reward_u_effect_abs,2048,3.5778671692021646e-17,1.2648337361781687e-15,0.0,0.0,0.0,0.0,0.0,5.551115123125783e-14,9.75781955236954e-19,1.0256823602255992e-16,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,minus,none,delta_u_effect_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,minus,none,termination_u_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,base,none,reward_u_effect_abs,2048,1.214306433183765e-17,3.462607756430588e-16,0.0,0.0,0.0,0.0,0.0,1.3766765505351941e-14,9.75781955236954e-19,2.949300959703692e-17,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,base,none,delta_u_effect_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,base,none,termination_u_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,plus,none,reward_u_effect_abs,2048,1.431146867680866e-17,3.602925047615112e-16,0.0,0.0,0.0,0.0,0.0,1.4210854715202004e-14,1.951563910473908e-18,3.177254466468768e-17,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,plus,none,delta_u_effect_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,plus,none,termination_u_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,all,none,reward_u_effect_abs,2048,2.0744401566889316e-17,4.530476934750715e-16,0.0,0.0,0.0,0.0,0.0,1.850371707708594e-14,6.031778086261024e-18,4.420201907042359e-17,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,all,none,delta_u_effect_l2,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
u_outcome_effect,0.0,do_oracle,all,none,termination_u_disagreement,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,minus,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,0.0,6.905798453613084e-17,0.0,0.0,0.0,0.0,0.0,1.3322676295501878e-15,-3.3610267347050637e-18,2.6020852139652106e-18,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,minus,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,2.6020852139652106e-18,6.90089202425223e-17,0.0,0.0,0.0,0.0,0.0,2.6645352591003757e-15,2.168404344971009e-19,5.9631119486702744e-18,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,minus,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,1.6718397499726478e-16,2.313144399351738e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,2.6645352591003757e-15,1.5720660450496692e-16,1.7694179454963432e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,minus,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,minus,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,1.0035617535612254e-16,1.4826936903458577e-16,5.556618191635903e-17,1.791395985745431e-18,1.218989618519634e-17,1.138057341658778e-16,2.289117002456878e-16,9.222286645778768e-16,9.394148691401678e-17,1.066154010445615e-16,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,base,logger1_heavy_vs_logger2_heavy,signed_reward_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,base,logger1_heavy_vs_logger2_heavy,absolute_reward_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,base,logger1_heavy_vs_logger2_heavy,three_mixture_reward_range,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,base,logger1_heavy_vs_logger2_heavy,delta_drift_heavy_contrast,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
primary_mixture_drift,0.0,confounded,base,logger1_heavy_vs_logger2_heavy,three_mixture_delta_drift,2048,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,0,,,
