scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,long_horizon,absolute_initial_u_return_effect,none,1994,1.7445831547102095e-18,3.837991687835397e-17,0.0,0.0,0.0,0.0,0.0,1.1842378929335002e-15,3.711879052574913e-19,3.600522680997665e-18,anchor_id,2000,0,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_do_error,logger12_balanced,1994,7.646470848304321e-17,9.242573902778257e-17,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,5.921189464667501e-16,7.254774811281354e-17,8.049302522485017e-17,anchor_id,2000,1,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_mixture_drift,none,1994,4.5990181461403174e-17,7.739392641804323e-17,0.0,0.0,0.0,1.4802973661668753e-16,1.4802973661668753e-16,4.440892098500626e-16,4.253813394250849e-17,4.9387014779390766e-17,anchor_id,2000,2,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,do_action_range,none,1994,0.007847236581782283,0.004650561587282689,0.006322926439190857,0.0027851782415096336,0.004319943371148938,0.012552516399001568,0.01416960990843812,0.021094037893782946,0.007636518639679206,0.008045556458504332,anchor_id,2000,3,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,do_top_second_margin,none,1994,0.0038505450142307138,0.0023397757462029177,0.0030963370694638837,0.0013480711075725903,0.0020806351129520895,0.006214768318158592,0.007031698979645285,0.013160055390878167,0.003756715387112293,0.003955647816270353,anchor_id,2000,4,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,max_balanced_do_error,logger12_balanced,1994,2.0344809087163098e-16,2.30330246564016e-16,0.0,0.0,0.0,4.440892098500626e-16,4.440892098500626e-16,1.3322676295501878e-15,1.9331187714881205e-16,2.1363719887094913e-16,anchor_id,2000,5,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_survival_difference_abs,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,6,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_termination_difference_abs,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,7,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_restricted_time_difference_abs,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,8,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_future_clipping_rate,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,9,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_vs_do_top_set_disagreement,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,10,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_vs_do_strict_disagreement,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,11,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_top_set_disagreement,none,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,12,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_strict_disagreement,none,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,13,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger1_heavy,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100,,,,,,,
