scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger1_heavy,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,100,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger1_heavy,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,101,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8966775325977934,0.9222668004012036,anchor_id,2000,200,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,201,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,1994,0.08475426278836509,0.27858553344068615,0.0,0.0,0.0,0.0,0.0,1.0,0.07171514543630893,0.09679037111334002,anchor_id,2000,202,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,110,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger12_balanced,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,111,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8971915747241725,0.9217778335005015,anchor_id,2000,210,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,211,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,1994,0.08475426278836509,0.27858553344068615,0.0,0.0,0.0,0.0,0.0,1.0,0.07320712136409228,0.09779338014042126,anchor_id,2000,212,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger2_heavy,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,120,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger2_heavy,1994,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,2000,121,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8966900702106319,0.921765295887663,anchor_id,2000,220,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,221,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,1994,0.08475426278836509,0.27858553344068615,0.0,0.0,0.0,0.0,0.0,1.0,0.07221664994984955,0.09779338014042126,anchor_id,2000,222,plus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,1994,0.9097291875626881,0.2866412358225881,1.0,1.0,1.0,1.0,1.0,1.0,0.8966900702106319,0.9222668004012036,anchor_id,2000,300,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,do,1994,0.005516549648946841,0.07408690857370026,0.0,0.0,0.0,0.0,0.0,1.0,0.0025075225677031092,0.009027081243731194,anchor_id,2000,301,base,,,,,,
