scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,long_horizon,absolute_initial_u_return_effect,none,24,6.1679056923619804e-18,3.0216443455789297e-17,0.0,0.0,0.0,0.0,0.0,1.4802973661668753e-16,0.0,1.850371707708594e-17,anchor_id,100,0,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_do_error,logger12_balanced,24,4.9343245538895844e-17,9.429820735678827e-17,0.0,0.0,0.0,3.700743415417188e-17,1.4802973661668753e-16,2.9605947323337506e-16,2.4671622769447922e-17,8.342092448919573e-17,anchor_id,100,1,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_mixture_drift,none,24,2.6213599192538415e-17,7.112594491966848e-17,0.0,0.0,0.0,0.0,1.1472304587793276e-16,2.9605947323337506e-16,4.548830448116961e-18,5.87493017197478e-17,anchor_id,100,2,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,do_action_range,none,24,0.007007360700805473,0.0036708998832637226,0.005708697901445126,0.003895085643496188,0.005139632856176246,0.006532778997751509,0.014291375211768242,0.015276788270372155,0.005645250421912184,0.008408952332620779,anchor_id,100,3,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,do_top_second_margin,none,24,0.0033742667741948986,0.0018308432166928804,0.002812894439351288,0.0019038010478295898,0.0023923993960281997,0.0032231857912212725,0.00710541277079142,0.007597939236591689,0.0028073099315406953,0.004027103272214645,anchor_id,100,4,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,max_balanced_do_error,logger12_balanced,24,1.1102230246251565e-16,1.9643214542272754e-16,0.0,0.0,0.0,1.1102230246251565e-16,4.440892098500626e-16,4.440892098500626e-16,5.551115123125783e-17,2.0354088784794536e-16,anchor_id,100,5,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_survival_difference_abs,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,6,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_termination_difference_abs,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,7,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_restricted_time_difference_abs,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,8,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_future_clipping_rate,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,9,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_vs_do_top_set_disagreement,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,10,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,balanced_vs_do_strict_disagreement,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,11,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_top_set_disagreement,none,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,12,,,,,,,
primary_common_horizon,all,0.0,1,long_horizon,heavy_strict_disagreement,none,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,13,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100,,,,,,,
