scope,subset,kappa,horizon,family,metric,mixture,n_anchors,mean,standard_deviation,median,p10,p25,p75,p90,maximum,ci95_low,ci95_high,bootstrap_unit,bootstrap_repetitions,bootstrap_seed,action,numerator_mean,denominator_mean,ratio_defined,valid_bootstrap_repetitions,positive_margin_count,reason
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,100,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,101,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,200,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,201,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger1_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,202,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,110,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,111,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,210,minus,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,211,base,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger12_balanced,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,212,plus,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_best,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,120,,,,,,,
primary_common_horizon,all,0.0,1,decision_regret,decision_regret_worst,logger2_heavy,24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,anchor_id,100,121,,,,,,,
primary_common_horizon,all,0.0,1,top_action,top_action_fraction,logger2_heavy,24,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,anchor_id,100,220,minus,,,,,,
