action,bootstrap_repetitions,bootstrap_unit,ci_high,ci_low,component,condition,family,kappa,lambda_reward,max,max_abs,mean,median,mixture,n_anchors,p10,p25,p75,p90,std
base,2000,anchor_id,0.0,0.0,physical_bias,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.6546009354301277e-16,9.648315132948504e-17,physical_bias,confounded,heavy_drift,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.3010426069826053e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9660000682681246e-16
minus,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.6523783209765327e-16,9.77950359581925e-17,total_bias,confounded,heavy_drift,0.0,0.0,1.7763568394002505e-15,1.7763568394002505e-15,1.3010426069826053e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9660000682681246e-16
minus,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.5981682123522575e-16,9.86623976961809e-17,physical_bias,confounded,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.2858637765678083e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.756510438829974e-16
plus,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6090102340771126e-16,9.606031248221569e-17,total_bias,confounded,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.2858637765678083e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.756510438829974e-16
plus,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,physical_bias,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.476791779142505e-16,8.67253317771155e-17,physical_bias,independent_latents,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.5092094240998222e-16,8.782037597132586e-17,total_bias,independent_latents,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6415362992516777e-16,9.366964669188516e-17,physical_bias,independent_latents,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6503183368488097e-16,9.648857234034747e-17,total_bias,independent_latents,heavy_drift,0.0,0.0,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.0,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,physical_bias,confounded,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,confounded,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.6371994905617357e-16,9.582720901513131e-17,physical_bias,confounded,heavy_drift,0.0,0.05,1.7763568394002505e-15,1.7763568394002505e-15,1.3010426069826053e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9660000682681246e-16
minus,2000,anchor_id,-0.01555555555555557,-0.01555555555555557,direct_bias,confounded,heavy_drift,0.0,0.05,-0.015555555555555566,0.015555555555555566,-0.01555555555555557,-0.015555555555555566,logger1_minus_logger2,512,-0.015555555555555566,-0.015555555555555566,-0.015555555555555566,-0.015555555555555566,5.209260082377107e-18
minus,2000,anchor_id,-0.015555555555555538,-0.01555555555555561,total_bias,confounded,heavy_drift,0.0,0.05,-0.015555555555553546,0.01555555555555621,-0.015555555555555576,-0.015555555555555767,logger1_minus_logger2,512,-0.01555555555555621,-0.015555555555555767,-0.015555555555555323,-0.015555555555555123,4.3053763356937927e-16
minus,2000,anchor_id,-1.2750217548429532e-16,-1.5135462327897642e-16,decomposition_residual,confounded,heavy_drift,0.0,0.05,2.42861286636753e-16,2.42861286636753e-16,-1.4007892068512717e-16,-2.0122792321330962e-16,logger1_minus_logger2,512,-2.0122792321330962e-16,-2.0122792321330962e-16,-2.0122792321330962e-16,2.0816681711721685e-17,1.37577047505831e-16
plus,2000,anchor_id,1.6024508109335756e-16,9.540979117872439e-17,physical_bias,confounded,heavy_drift,0.0,0.05,8.881784197001252e-16,8.881784197001252e-16,1.2858637765678083e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.756510438829974e-16
plus,2000,anchor_id,0.01555555555555557,0.01555555555555557,direct_bias,confounded,heavy_drift,0.0,0.05,0.015555555555555566,0.015555555555555566,0.01555555555555557,0.015555555555555566,logger1_minus_logger2,512,0.015555555555555566,0.015555555555555566,0.015555555555555566,0.015555555555555566,5.209260082377107e-18
plus,2000,anchor_id,0.015555555555555867,0.015555555555555801,total_bias,confounded,heavy_drift,0.0,0.05,0.015555555555556655,0.015555555555556655,0.015555555555555836,0.015555555555555767,logger1_minus_logger2,512,0.015555555555555323,0.015555555555555767,0.01555555555555621,0.01555555555555621,3.973177942374976e-16
plus,2000,anchor_id,1.5331160820031272e-16,1.294483183839068e-16,decomposition_residual,confounded,heavy_drift,0.0,0.05,2.0122792321330962e-16,2.42861286636753e-16,1.4159680372660688e-16,2.0122792321330962e-16,logger1_minus_logger2,512,-2.0816681711721685e-17,2.0122792321330962e-16,2.0122792321330962e-16,2.0122792321330962e-16,1.3867854573495965e-16
base,2000,anchor_id,0.0,0.0,physical_bias,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.472346550235315e-16,8.673617379884035e-17,physical_bias,independent_latents,heavy_drift,0.0,0.05,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.5048726154098802e-16,8.608023148448663e-17,total_bias,independent_latents,heavy_drift,0.0,0.05,8.881784197001252e-16,8.881784197001252e-16,1.1839487723541708e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.6501984799124897e-16
minus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6458731079416197e-16,9.453158741901113e-17,physical_bias,independent_latents,heavy_drift,0.0,0.05,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
plus,2000,anchor_id,1.6414820891430537e-16,9.497068929886777e-17,total_bias,independent_latents,heavy_drift,0.0,0.05,8.881784197001252e-16,8.881784197001252e-16,1.2988742026376343e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9803706871919335e-16
plus,2000,anchor_id,0.0,0.0,decomposition_residual,independent_latents,heavy_drift,0.0,0.05,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,physical_bias,confounded,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,confounded,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,total_bias,confounded,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,decomposition_residual,confounded,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
minus,2000,anchor_id,1.6284716630732277e-16,9.561578959149663e-17,physical_bias,confounded,heavy_drift,0.0,0.1,1.7763568394002505e-15,1.7763568394002505e-15,1.3010426069826053e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.9660000682681246e-16
minus,2000,anchor_id,-0.03111111111111114,-0.03111111111111114,direct_bias,confounded,heavy_drift,0.0,0.1,-0.03111111111111113,0.03111111111111113,-0.03111111111111114,-0.03111111111111113,logger1_minus_logger2,512,-0.03111111111111113,-0.03111111111111113,-0.03111111111111113,-0.03111111111111113,1.0418520164754215e-17
minus,2000,anchor_id,-0.031111111111110964,-0.031111111111111037,total_bias,confounded,heavy_drift,0.0,0.1,-0.031111111111109313,0.03111111111111242,-0.031111111111111,-0.03111111111111109,logger1_minus_logger2,512,-0.031111111111111533,-0.03111111111111109,-0.031111111111110645,-0.031111111111110645,4.072414010938637e-16
minus,2000,anchor_id,9.75781955236954e-18,-1.214306433183765e-17,decomposition_residual,confounded,heavy_drift,0.0,0.1,4.163336342344337e-17,4.0245584642661925e-16,-8.673617379884035e-19,4.163336342344337e-17,logger1_minus_logger2,512,-6.938893903907228e-17,4.163336342344337e-17,4.163336342344337e-17,4.163336342344337e-17,1.2759733764808963e-16
plus,2000,anchor_id,1.6219664500383146e-16,9.670541277484457e-17,physical_bias,confounded,heavy_drift,0.0,0.1,8.881784197001252e-16,8.881784197001252e-16,1.2858637765678083e-16,0.0,logger1_minus_logger2,512,-4.440892098500626e-16,0.0,4.440892098500626e-16,4.440892098500626e-16,3.756510438829974e-16
plus,2000,anchor_id,0.03111111111111114,0.03111111111111114,direct_bias,confounded,heavy_drift,0.0,0.1,0.03111111111111113,0.03111111111111113,0.03111111111111114,0.03111111111111113,logger1_minus_logger2,512,0.03111111111111113,0.03111111111111113,0.03111111111111113,0.03111111111111113,1.0418520164754215e-17
plus,2000,anchor_id,0.031111111111111298,0.031111111111111228,total_bias,confounded,heavy_drift,0.0,0.1,0.03111111111111242,0.03111111111111242,0.031111111111111263,0.03111111111111109,logger1_minus_logger2,512,0.031111111111110645,0.03111111111111109,0.031111111111111533,0.031111111111111533,4.0456350844078065e-16
plus,2000,anchor_id,1.3444106938820255e-17,-1.0842021724855044e-17,decomposition_residual,confounded,heavy_drift,0.0,0.1,4.0245584642661925e-16,4.85722573273506e-16,8.673617379884035e-19,-4.163336342344337e-17,logger1_minus_logger2,512,-4.163336342344337e-17,-4.163336342344337e-17,-4.163336342344337e-17,6.938893903907228e-17,1.3494732106421203e-16
base,2000,anchor_id,0.0,0.0,physical_bias,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
base,2000,anchor_id,0.0,0.0,direct_bias,independent_latents,heavy_drift,0.0,0.1,0.0,0.0,0.0,0.0,logger1_minus_logger2,512,0.0,0.0,0.0,0.0,0.0
