action,bootstrap_unit,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,seed_max,seed_min,seed_sd,seed_variation_reported_separately
base,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,base_prediction_range_across_mixtures,all_primary,3,78,0.0,0.0,0.0,True
all,anchor_id,0.0019008380955740905,0.0008812731633948944,confounded,0.0,0.0,0.0013683058259242832,neural_decision_regret,logger12_balanced,3,78,0.001692100478083342,0.0009544150085085007,0.00037700524167568107,True
all,anchor_id,0.452991452991453,0.23931623931623933,confounded,0.0,0.0,0.34188034188034183,neural_do_ranking_disagreement,logger12_balanced,3,78,0.41025641025641024,0.2692307692307692,0.07060987881136029,True
base,anchor_id,0.030875784077043566,0.01812123765942741,confounded,0.0,0.0,0.023980965721252995,reward_population_mae,logger12_balanced,3,78,0.025746993708107315,0.02196777373158131,0.0019016948863999799,True
base,anchor_id,0.049980123638702134,0.02586720234758376,confounded,0.0,0.0,0.038056119184702565,reward_population_rmse,logger12_balanced,3,78,0.03929297641488045,0.03647666020206286,0.0014390765175060132,True
base,anchor_id,0.005535440438515889,-0.01118423262763942,confounded,0.0,0.0,-0.0023089436685921195,signed_balanced_neural_bias,logger12_balanced,3,78,0.00019032095913918142,-0.0038950708187046003,0.0021904272492809344,True
base,anchor_id,0.0,0.0,confounded,0.0,0.0,0.0,signed_balanced_population_bias,logger12_balanced,3,78,0.0,0.0,0.0,True
minus,anchor_id,0.031199302896436215,0.018049752892349807,confounded,0.0,0.0,0.02403208195116954,reward_population_mae,logger12_balanced,3,78,0.024839954815360877,0.02296464848041749,0.0009642210554786281,True
minus,anchor_id,0.05097715073768711,0.02619570730170218,confounded,0.0,0.0,0.03874751020872434,reward_population_rmse,logger12_balanced,3,78,0.04069653453504493,0.03755420527644632,0.0017020258941215537,True
minus,anchor_id,0.006039391897752788,-0.011295439942873,confounded,0.0,0.0,-0.002581291135865284,signed_balanced_neural_bias,logger12_balanced,3,78,0.00023056643981187252,-0.004504882045603629,0.002489554446456139,True
