action,ci_high,ci_low,condition,kappa,lambda_reward,mean,metric,mixture,model_seed,n_anchors,sd,statistical_unit,theoretical_slope
minus,0.03072858921210408,0.016072837842615845,confounded,0.0,0.0,0.02296464848041751,reward_population_mae,logger1_heavy,0,78,0.03381557348514877,anchor_id,
minus,0.054723967890382426,0.02632125433517059,confounded,0.0,0.0,0.04069653453504495,reward_population_rmse,logger1_heavy,0,78,0.005310360901254234,anchor_id,
base,0.029676166688732897,0.015256695318293784,confounded,0.0,0.0,0.02196777373158131,reward_population_mae,logger1_heavy,0,78,0.032789308361949335,anchor_id,
base,0.053380511536628636,0.025698113969856776,confounded,0.0,0.0,0.03929297641488045,reward_population_rmse,logger1_heavy,0,78,0.005055400874158535,anchor_id,
plus,0.029845077938169356,0.016911460790811815,confounded,0.0,0.0,0.022783186735524825,reward_population_mae,logger1_heavy,0,78,0.030814745963422742,anchor_id,
plus,0.05137127655514852,0.02441441218277551,confounded,0.0,0.0,0.038163444118897306,reward_population_rmse,logger1_heavy,0,78,0.004676252601738613,anchor_id,
minus,0.03093684599267117,0.016311772896658864,confounded,0.0,0.0,0.02296464848041749,reward_population_mae,logger12_balanced,0,78,0.033815573485148756,anchor_id,
minus,0.054194661017019495,0.026028014645998267,confounded,0.0,0.0,0.04069653453504493,reward_population_rmse,logger12_balanced,0,78,0.0053103609012542345,anchor_id,
base,0.02983394883739458,0.01566491091330781,confounded,0.0,0.0,0.02196777373158131,reward_population_mae,logger12_balanced,0,78,0.032789308361949335,anchor_id,
base,0.053193020325811496,0.02512486253205271,confounded,0.0,0.0,0.03929297641488045,reward_population_rmse,logger12_balanced,0,78,0.005055400874158535,anchor_id,
plus,0.030171285014401115,0.016523448349252196,confounded,0.0,0.0,0.022783186735524805,reward_population_mae,logger12_balanced,0,78,0.030814745963422745,anchor_id,
plus,0.051239493044075726,0.024627924937611248,confounded,0.0,0.0,0.0381634441188973,reward_population_rmse,logger12_balanced,0,78,0.004676252601738627,anchor_id,
minus,0.03164408320634949,0.016149051670487902,confounded,0.0,0.0,0.022964648480417467,reward_population_mae,logger2_heavy,0,78,0.03381557348514875,anchor_id,
