action,bootstrap_unit,ci_high,ci_low,ci_method,condition,kappa,lambda_reward,mean,metric,mixture,model_seed_count,n_anchors,sd,seed_max,seed_min,seed_sd,seed_variation_reported_separately,theoretical_slope
base,anchor_id,0.2770107071235165,0.198723280887096,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.2369028923772987,balanced_slope_error,balanced,3,78,0.1829417877822812,0.25423565662190345,0.20861403400541023,0.02470546723773623,True,0.0
base,anchor_id,0.730318816250045,0.6370979429399234,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.6837174309611894,balanced_slope_r2,balanced,3,78,0.215810993197226,0.7424927278270328,0.6307212809498175,0.05610938413519347,True,0.0
base,anchor_id,0.10698128105952695,-0.025581815832793748,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.03882389076785856,balanced_slope_through_origin_increment,balanced,3,78,0.29884000452190085,0.04600851121370917,0.034731694421560995,0.006242112170535001,True,0.0
base,anchor_id,0.09411027942599201,-0.03409411231554195,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.02894124896461764,balanced_slope_with_intercept,balanced,3,78,0.28822733984677673,0.03160408919475414,0.02753745486098116,0.0023072226946366297,True,0.0
minus,anchor_id,0.4438377392826879,0.32877003584173353,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.38579105439401956,balanced_slope_error,balanced,3,78,0.26249890546995674,0.4202260370982917,0.3663709788590505,0.029902799241293514,True,-0.6
minus,anchor_id,0.8543420710126236,0.7641736676229935,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.8119495780399288,balanced_slope_r2,balanced,3,78,0.19965280458371013,0.8578266223417228,0.7832474685736018,0.040146560676403535,True,-0.6
minus,anchor_id,-0.2072718065570994,-0.3480966256845735,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,-0.27769334088740044,balanced_slope_through_origin_increment,balanced,3,78,0.32290956403168813,-0.2669387877979359,-0.29867450044184785,0.01817213454981173,True,-0.6
minus,anchor_id,-0.18707479674113767,-0.32697743091672654,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,-0.25778573287701234,balanced_slope_with_intercept,balanced,3,78,0.3135306864008842,-0.23430412030314315,-0.2839405979618462,0.024925984189822167,True,-0.6
plus,anchor_id,0.3999937814563425,0.3090822390593167,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.3525827891107492,balanced_slope_error,balanced,3,78,0.20953342125434016,0.3619747313365375,0.34228779426835126,0.009874487369122295,True,0.5999999999999999
plus,anchor_id,0.8267886832520224,0.7347141498370819,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.7805996664225691,balanced_slope_r2,balanced,3,78,0.21501779563342752,0.7952400709685578,0.7582654437856658,0.019651383957383847,True,0.5999999999999999
plus,anchor_id,0.42451016554394894,0.2940904077161597,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.357907222255691,balanced_slope_through_origin_increment,balanced,3,78,0.2989661301685542,0.3823273291128934,0.3391846191198602,0.022128477531837207,True,0.5999999999999999
plus,anchor_id,0.38179046772034536,0.2543576871389038,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.31695747659580314,balanced_slope_with_intercept,balanced,3,78,0.29073714846863824,0.33616858692854246,0.2921222732473916,0.022555315424779263,True,0.5999999999999999
base,anchor_id,0.1650168709857994,0.12922593864355525,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.14671144033362388,heavy_slope_error,heavy,3,78,0.08167423694719592,0.18256551549210906,0.11833679863642033,0.03276108149784379,True,0.0
base,anchor_id,0.6191964384495136,0.5267346150127128,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.5744214163754846,heavy_slope_r2,heavy,3,78,0.20086012451648969,0.6627943479674295,0.49151164215914644,0.08577194117912161,True,0.0
base,anchor_id,0.041374388188651766,-0.022586568477223422,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.008994033792094971,heavy_slope_through_origin_increment,heavy,3,78,0.1487861900760642,0.04082781617541346,-0.030592712905033712,0.036335992284113564,True,0.0
base,anchor_id,0.031700970787950665,-0.0353779330183493,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,-0.002495495200471629,heavy_slope_with_intercept,heavy,3,78,0.15268718330259876,0.03201370077251665,-0.04196617011840781,0.037238656383526164,True,0.0
minus,anchor_id,0.23407310202386053,0.17576262567729004,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.2046422274151858,heavy_slope_error,heavy,3,78,0.1358332220772961,0.23878985976648037,0.17275986769612064,0.03307323023650227,True,-0.3111111111111111
minus,anchor_id,0.7102390619504485,0.6192298398323655,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,0.6661094979706638,heavy_slope_r2,heavy,3,78,0.20451852442971316,0.7345147909625069,0.6268258188561122,0.059458220411028925,True,-0.3111111111111111
minus,anchor_id,-0.09950529916024861,-0.17377263416471697,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,-0.1364900254310802,heavy_slope_through_origin_increment,heavy,3,78,0.16757032746199496,-0.13300058162303174,-0.1394667134084562,0.0032634190618177675,True,-0.3111111111111111
minus,anchor_id,-0.1059039329895579,-0.18095535160123002,bootstrap anchors after averaging paired model-seed predictions,confounded,0.0,all,-0.14241255967291197,heavy_slope_with_intercept,heavy,3,78,0.171910978555909,-0.12670492761831645,-0.15907404700321198,0.016205627181742982,True,-0.3111111111111111
