kappa,lambda_reward,condition,mixture,seed,observationally_best_variant,do_mae_best_variant,ranking_best_variant,regret_best_variant,observational_best_matches_do_best,observational_best_matches_ranking_best,observational_best_matches_regret_best,nll_current_collapsed,nll_explicit_collapsed,nll_true_behavior_fixed,nll_true_behavior_em,nll_oracle_plugin,nll_oracle_initialized_best,nll_oracle_initialized_final,delta_nll_oracle_vs_collapsed,delta_nll_oracleinit_best_vs_collapsed,delta_nll_oracleinit_final_vs_collapsed,delta_do_mae_oracle_vs_collapsed,delta_rank_error_oracle_vs_collapsed,delta_regret_oracle_vs_collapsed
0.0,0.0,confounded,logger12_balanced,0,oracle_initialized_joint,true_behavior_fixed,true_behavior_fixed_em,true_behavior_fixed_em,False,False,False,-1.2113115787506104,-1.2330299615859985,-1.290074348449707,-1.1885883808135986,-1.2385166883468628,-1.554341435432434,0.06369435787200928,-0.005486726760864258,-0.32131147384643555,1.2967243194580078,0.0009524212549797909,-0.02588996763754048,-0.00018876060550414558
0.0,0.0,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_reward_fixed_learn_behavior,oracle_initialized_joint,False,False,True,-1.2970881462097168,-1.1396150588989258,-0.7284470796585083,-1.2366164922714233,-1.2401334047317505,-1.5146421194076538,-0.8923603892326355,-0.10051834583282471,-0.375027060508728,0.24725466966629028,-0.00562112071219837,-0.0032362459546925737,0.00015040164039676013
0.0,0.0,confounded,logger12_balanced,2,oracle_initialized_joint,true_behavior_fixed_em,oracle_initialized_joint,oracle_initialized_joint,False,True,True,-1.2743198871612549,-1.2217668294906616,-1.2459807395935059,-1.2604018449783325,-1.2704315185546875,-1.5162864923477173,-0.6529363393783569,-0.04866468906402588,-0.29451966285705566,0.5688304901123047,-0.001152031028375012,-0.035598705501618116,3.0008099991268617e-05
0.0,0.0,confounded,logger12_balanced,3,oracle_initialized_joint,oracle_u_aware_ceiling,collapsed_constrained_reference,collapsed_constrained_reference,False,False,False,-1.267931342124939,-1.2285828590393066,-1.2637954950332642,-1.1673375368118286,-1.2095916271209717,-1.5795027017593384,-0.6751753687858582,0.01899123191833496,-0.35091984272003174,0.5534074902534485,-0.0003579751249518995,0.029126213592233025,0.0001588341938236691
0.0,0.0,confounded,logger12_balanced,4,oracle_initialized_joint,oracle_initialized_joint,current_random_init,current_random_init,True,False,False,-1.2735874652862549,-1.2237955331802368,-1.2257030010223389,-1.2619444131851196,-1.2648357152938843,-1.6763596534729004,-1.3692631721496582,-0.04104018211364746,-0.4525641202926636,-0.1454676389694214,-0.0004912346928120388,0.025889967637540423,0.00010158925948815993
0.0,0.002,confounded,logger12_balanced,0,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,-1.2597429752349854,-1.2470251321792603,-1.1499606370925903,-1.2600009441375732,-1.232495665550232,-1.5865046977996826,-0.8368274569511414,0.01452946662902832,-0.33947956562042236,0.4101976752281189,0.0022603240249273494,-0.10679611650485438,-0.0004347608550289298
0.0,0.002,confounded,logger12_balanced,1,oracle_initialized_joint,oracle_initialized_joint,collapsed_constrained_reference,oracle_u_aware_ceiling,True,False,False,-1.2999104261398315,-1.2121491432189941,-1.218947410583496,-1.2145780324935913,-1.2612898349761963,-1.6022642850875854,-0.5272059440612793,-0.04914069175720215,-0.3901151418685913,0.6849431991577148,-0.003636467449851603,0.016181229773462785,1.7988783226760715e-05
0.0,0.002,confounded,logger12_balanced,2,oracle_initialized_joint,oracle_initialized_joint,oracle_u_aware_ceiling,oracle_u_aware_ceiling,True,False,False,-1.250820517539978,-1.2238589525222778,-0.8221435546875,-1.1839510202407837,-1.2323919534683228,-1.5176219940185547,-0.6357471346855164,-0.008533000946044922,-0.29376304149627686,0.5881118178367615,-0.0020800872737774517,-0.055016181229773475,-0.00015029055532372838
0.0,0.002,confounded,logger12_balanced,3,oracle_initialized_joint,current_random_init,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.2852199077606201,-1.2095682621002197,-1.245106816291809,-1.1823240518569946,-1.2749747037887573,-1.5498526096343994,-0.8073328137397766,-0.0654064416885376,-0.3402843475341797,0.4022354483604431,-0.0037920662326987927,0.009708737864077666,6.453239220914392e-05
0.0,0.002,confounded,logger12_balanced,4,oracle_initialized_joint,current_random_init,oracle_u_aware_ceiling,oracle_u_aware_ceiling,False,False,False,-1.3140841722488403,-1.2236460447311401,-1.2035270929336548,-1.1889945268630981,-1.2415515184402466,-1.5712343454360962,0.13475045561790466,-0.017905473709106445,-0.34758830070495605,1.3583965003490448,0.0005488516979166476,-0.13268608414239486,-0.0005957330567043936
