kappa,lambda_reward,condition,mixture,seed,variant,train_nll,validation_nll,test_nll,observational_reward_mae
0.0,0.0,confounded,logger12_balanced,0,current_random_init,-1.3333309888839722,-1.2113115787506104,-1.2504926919937134,0.011161696227406434
0.0,0.0,confounded,logger12_balanced,0,collapsed_constrained_reference,-1.345535397529602,-1.2330299615859985,-1.2671676874160767,0.011169773693078727
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed,-1.3934326171875,-1.290074348449707,-1.3257205486297607,0.010951373802103313
0.0,0.0,confounded,logger12_balanced,0,true_behavior_fixed_em,-1.3095686435699463,-1.1885883808135986,-1.2289528846740723,0.01638139405272904
0.0,0.0,confounded,logger12_balanced,0,oracle_reward_fixed_learn_behavior,-1.3531525135040283,-1.2381236553192139,-1.2837287187576294,0.012154207908703295
0.0,0.0,confounded,logger12_balanced,0,oracle_compatible_plugin,-1.354658603668213,-1.2385166883468628,-1.2846789360046387,0.012166107198949378
0.0,0.0,confounded,logger12_balanced,0,oracle_initialized_joint,-1.965718388557434,-1.554341435432434,-1.7356456518173218,0.011110395993935122
0.0,0.0,confounded,logger12_balanced,0,oracle_u_aware_ceiling,-1.3952048262139751,-1.275181077470558,-1.319582950172497,0.0129671289621429
0.0,0.0,confounded,logger12_balanced,1,current_random_init,-1.4084957838058472,-1.2970881462097168,-1.3279367685317993,0.010182503927850186
0.0,0.0,confounded,logger12_balanced,1,collapsed_constrained_reference,-1.2699077129364014,-1.1396150588989258,-1.2035306692123413,0.016774230477954125
0.0,0.0,confounded,logger12_balanced,1,true_behavior_fixed,-0.8399032354354858,-0.7284470796585083,-0.7645218372344971,0.034041439934468946
0.0,0.0,confounded,logger12_balanced,1,true_behavior_fixed_em,-1.3504542112350464,-1.2366164922714233,-1.2982943058013916,0.01232140341457926
0.0,0.0,confounded,logger12_balanced,1,oracle_reward_fixed_learn_behavior,-1.345119833946228,-1.2384579181671143,-1.291616678237915,0.011159628556813954
0.0,0.0,confounded,logger12_balanced,1,oracle_compatible_plugin,-1.347198486328125,-1.2401334047317505,-1.2915759086608887,0.011206037672508431
0.0,0.0,confounded,logger12_balanced,1,oracle_initialized_joint,-1.972185730934143,-1.5146421194076538,-1.6812585592269897,0.011562103927734366
0.0,0.0,confounded,logger12_balanced,1,oracle_u_aware_ceiling,-1.4231793059454234,-1.3023235416539363,-1.3552772314356587,0.010102025953625996
0.0,0.0,confounded,logger12_balanced,2,current_random_init,-1.4057916402816772,-1.2743198871612549,-1.2991974353790283,0.012522272985942854
0.0,0.0,confounded,logger12_balanced,2,collapsed_constrained_reference,-1.321648359298706,-1.2217668294906616,-1.231819987297058,0.013658858002322383
0.0,0.0,confounded,logger12_balanced,2,true_behavior_fixed,-1.3694815635681152,-1.2459807395935059,-1.2818633317947388,0.013399704888574273
0.0,0.0,confounded,logger12_balanced,2,true_behavior_fixed_em,-1.3674708604812622,-1.2604018449783325,-1.2989615201950073,0.012392035000452939
0.0,0.0,confounded,logger12_balanced,2,oracle_reward_fixed_learn_behavior,-1.36011803150177,-1.2705670595169067,-1.2611942291259766,0.012529242050085935
0.0,0.0,confounded,logger12_balanced,2,oracle_compatible_plugin,-1.3616431951522827,-1.2704315185546875,-1.2622294425964355,0.012555160357249235
