kappa,lambda_reward,condition,seed,method,left_mixture,right_mixture,prediction_mae
0.0,0.0,confounded,0,pooled_mlp,logger1_heavy,logger12_balanced,0.0134040122541857
0.0,0.0,confounded,0,pooled_mlp,logger1_heavy,logger2_heavy,0.012251331582306456
0.0,0.0,confounded,0,pooled_mlp,logger12_balanced,logger2_heavy,0.012771361128558078
0.0,0.0,confounded,0,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,confounded,0,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,confounded,0,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,confounded,0,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.009983493375922296
0.0,0.0,confounded,0,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.010262894748728338
0.0,0.0,confounded,0,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.00771673528263252
0.0,0.0,confounded,0,per_source_models,logger1_heavy,logger12_balanced,0.004384405269272167
0.0,0.0,confounded,0,per_source_models,logger1_heavy,logger2_heavy,0.007650519930667463
0.0,0.0,confounded,0,per_source_models,logger12_balanced,logger2_heavy,0.0076555177499712575
0.0,0.0,confounded,0,mechanism_separated,logger1_heavy,logger12_balanced,0.007059769474578912
0.0,0.0,confounded,0,mechanism_separated,logger1_heavy,logger2_heavy,0.010182616260604566
0.0,0.0,confounded,0,mechanism_separated,logger12_balanced,logger2_heavy,0.009885897572035235
0.0,0.0,confounded,0,oracle_u_aware,logger1_heavy,logger12_balanced,0.008490153532795834
0.0,0.0,confounded,0,oracle_u_aware,logger1_heavy,logger2_heavy,0.010357694176663195
0.0,0.0,confounded,0,oracle_u_aware,logger12_balanced,logger2_heavy,0.010319311246802677
0.0,0.0,confounded,0,source_shuffle,logger1_heavy,logger12_balanced,0.008573981209981795
0.0,0.0,confounded,0,source_shuffle,logger1_heavy,logger2_heavy,0.006389681748949005
0.0,0.0,confounded,0,source_shuffle,logger12_balanced,logger2_heavy,0.008240027930166224
0.0,0.0,confounded,0,no_behavior,logger1_heavy,logger12_balanced,0.009513061494136218
0.0,0.0,confounded,0,no_behavior,logger1_heavy,logger2_heavy,0.006443795907342032
0.0,0.0,confounded,0,no_behavior,logger12_balanced,logger2_heavy,0.008527688392603157
0.0,0.0,confounded,0,source_dependent_reward,logger1_heavy,logger12_balanced,0.01189696902811497
0.0,0.0,confounded,0,source_dependent_reward,logger1_heavy,logger2_heavy,0.009591677755175823
0.0,0.0,confounded,0,source_dependent_reward,logger12_balanced,logger2_heavy,0.008414772140775757
0.0,0.0,confounded,1,pooled_mlp,logger1_heavy,logger12_balanced,0.009099096690268366
0.0,0.0,confounded,1,pooled_mlp,logger1_heavy,logger2_heavy,0.011349165098056908
0.0,0.0,confounded,1,pooled_mlp,logger12_balanced,logger2_heavy,0.006460819714967898
0.0,0.0,confounded,1,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,confounded,1,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
0.0,0.0,confounded,1,source_balanced_pooled_mlp,logger12_balanced,logger2_heavy,0.0
0.0,0.0,confounded,1,source_conditioned_decoder,logger1_heavy,logger12_balanced,0.011090202828219434
0.0,0.0,confounded,1,source_conditioned_decoder,logger1_heavy,logger2_heavy,0.012783793164199541
0.0,0.0,confounded,1,source_conditioned_decoder,logger12_balanced,logger2_heavy,0.006078282967785463
0.0,0.0,confounded,1,per_source_models,logger1_heavy,logger12_balanced,0.004820934049782182
0.0,0.0,confounded,1,per_source_models,logger1_heavy,logger2_heavy,0.005789567878726172
0.0,0.0,confounded,1,per_source_models,logger12_balanced,logger2_heavy,0.004510109871491438
0.0,0.0,confounded,1,mechanism_separated,logger1_heavy,logger12_balanced,0.010433908166732892
0.0,0.0,confounded,1,mechanism_separated,logger1_heavy,logger2_heavy,0.008365245815617948
0.0,0.0,confounded,1,mechanism_separated,logger12_balanced,logger2_heavy,0.010338057399270273
0.0,0.0,confounded,1,oracle_u_aware,logger1_heavy,logger12_balanced,0.014804132784598342
0.0,0.0,confounded,1,oracle_u_aware,logger1_heavy,logger2_heavy,0.0094395241136869
0.0,0.0,confounded,1,oracle_u_aware,logger12_balanced,logger2_heavy,0.008303151752081496
0.0,0.0,confounded,1,source_shuffle,logger1_heavy,logger12_balanced,0.007115124082436079
0.0,0.0,confounded,1,source_shuffle,logger1_heavy,logger2_heavy,0.008023370740272586
0.0,0.0,confounded,1,source_shuffle,logger12_balanced,logger2_heavy,0.008188309160103772
0.0,0.0,confounded,1,no_behavior,logger1_heavy,logger12_balanced,0.007387772864792808
0.0,0.0,confounded,1,no_behavior,logger1_heavy,logger2_heavy,0.0066744444268872945
0.0,0.0,confounded,1,no_behavior,logger12_balanced,logger2_heavy,0.005307433771763687
0.0,0.0,confounded,1,source_dependent_reward,logger1_heavy,logger12_balanced,0.00526278502488255
0.0,0.0,confounded,1,source_dependent_reward,logger1_heavy,logger2_heavy,0.008803647594196426
0.0,0.0,confounded,1,source_dependent_reward,logger12_balanced,logger2_heavy,0.006781585659150097
0.0,0.0,confounded,2,pooled_mlp,logger1_heavy,logger12_balanced,0.0062683460433535015
0.0,0.0,confounded,2,pooled_mlp,logger1_heavy,logger2_heavy,0.00630142569734818
0.0,0.0,confounded,2,pooled_mlp,logger12_balanced,logger2_heavy,0.00504719883280816
0.0,0.0,confounded,2,source_balanced_pooled_mlp,logger1_heavy,logger12_balanced,0.0
0.0,0.0,confounded,2,source_balanced_pooled_mlp,logger1_heavy,logger2_heavy,0.0
