kappa,lambda_reward,condition,mixture,candidate_count,unique_prediction_hash_count,unique_prediction_fraction,mean_prediction_standard_deviation
0.0,0.0,confounded,logger12_balanced,50,40,0.8,0.029027928791368108
0.0,0.002,confounded,logger12_balanced,50,40,0.8,0.02715181311207422
0.0,0.005,confounded,logger12_balanced,50,40,0.8,0.029151335579383524
0.0,0.01,confounded,logger12_balanced,50,40,0.8,0.028532540983457193
0.0,0.02,confounded,logger12_balanced,50,40,0.8,0.015261450387417155
0.0,0.05,confounded,logger12_balanced,50,40,0.8,0.024147016326171472
0.0,0.1,confounded,logger12_balanced,50,40,0.8,0.015003933086613935
0.0,0.0,independent_latents,logger12_balanced,50,40,0.8,0.026277726343642355
0.0,0.002,independent_latents,logger12_balanced,50,40,0.8,0.018686438984343502
0.0,0.005,independent_latents,logger12_balanced,50,40,0.8,0.023283165448958216
0.0,0.01,independent_latents,logger12_balanced,50,40,0.8,0.029059007866409185
0.0,0.02,independent_latents,logger12_balanced,50,40,0.8,0.013721283894378454
0.0,0.05,independent_latents,logger12_balanced,50,40,0.8,0.010671841850336997
0.0,0.1,independent_latents,logger12_balanced,50,40,0.8,0.009668826980476473
0.3,0.0,confounded,logger12_balanced,50,40,0.8,0.02667773191756021
0.3,0.002,confounded,logger12_balanced,50,40,0.8,0.03674651472422133
0.3,0.005,confounded,logger12_balanced,50,40,0.8,0.035840626079417175
0.3,0.01,confounded,logger12_balanced,50,40,0.8,0.028179704769958326
0.3,0.02,confounded,logger12_balanced,50,40,0.8,0.031265376864937654
0.3,0.05,confounded,logger12_balanced,50,40,0.8,0.02146301941872824
0.3,0.1,confounded,logger12_balanced,50,40,0.8,0.015141660757181248
0.3,0.0,independent_latents,logger12_balanced,50,40,0.8,0.024926715817785623
0.3,0.002,independent_latents,logger12_balanced,50,40,0.8,0.022618217324678447
0.3,0.005,independent_latents,logger12_balanced,50,40,0.8,0.02835134796862642
0.3,0.01,independent_latents,logger12_balanced,50,40,0.8,0.03615831514534093
0.3,0.02,independent_latents,logger12_balanced,50,40,0.8,0.01920812469330671
0.3,0.05,independent_latents,logger12_balanced,50,40,0.8,0.01046909179353215
0.3,0.1,independent_latents,logger12_balanced,50,40,0.8,0.01034135115299937
