kappa,lambda_reward,condition,seed,method,latent_collapse,reward_mode_separation,behavior_separation,posterior_entropy,posterior_u_accuracy
0.0,0.0,confounded,0,public_residual_init_nll_best,False,0.009554643292764684,0.019697928801178932,0.44604918360710144,0.5
0.0,0.0,confounded,0,source_shuffle_initialization,False,0.009305231669785897,0.036161426454782486,0.4315272271633148,0.5
0.0,0.0,confounded,0,no_staged_training,False,0.00844644786677523,0.02891486883163452,0.6603348255157471,0.5
0.0,0.0,confounded,1,public_residual_init_nll_best,False,0.008788136274333804,0.030933167785406113,0.6456620693206787,0.5
0.0,0.0,confounded,1,source_shuffle_initialization,False,0.0089597950616482,0.04379954934120178,0.6132339239120483,0.5
0.0,0.0,confounded,1,no_staged_training,False,0.009808573375481551,0.006110000889748335,0.32501059770584106,0.5
0.0,0.0,confounded,2,public_residual_init_nll_best,False,0.010324596449359414,0.049287982285022736,0.6204231381416321,0.5
0.0,0.0,confounded,2,source_shuffle_initialization,False,0.009168401992267707,0.06735019385814667,0.6101757287979126,0.5
0.0,0.0,confounded,2,no_staged_training,False,0.029051530459659775,0.03060201182961464,0.5162701606750488,0.5
0.0,0.0,confounded,3,public_residual_init_nll_best,False,0.009145089340382622,0.06714995950460434,0.4899856448173523,0.5
0.0,0.0,confounded,3,source_shuffle_initialization,False,0.010753118608105978,0.06992658227682114,0.5184690952301025,0.5
0.0,0.0,confounded,3,no_staged_training,False,0.007291485299011911,0.05547638237476349,0.38013002276420593,0.5
0.0,0.0,confounded,4,public_residual_init_nll_best,False,0.16975723874448917,0.00825284793972969,0.009843242354691029,0.5
0.0,0.0,confounded,4,source_shuffle_initialization,False,0.1772859054219483,0.03168397396802902,0.008723328821361065,0.5
0.0,0.0,confounded,4,no_staged_training,False,0.009193555911571128,0.0086598489433527,0.32768210768699646,0.5
0.0,0.0,confounded,-1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,0,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,1,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,2,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,3,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,4,public_residual_init_uniform_candidate_ensemble,,,,,
0.0,0.0,confounded,0,pooled_mlp,,,,,
0.0,0.0,confounded,0,V0_random_init_mechanism,True,0.0069014071491835,0.17941603064537048,0.0372672937810421,0.5
0.0,0.0,confounded,0,V7_oracle_u_aware,,,,,1.0
0.0,0.0,confounded,0,V1_explicit_collapsed,,,,,
0.0,0.0,confounded,0,V6_oracle_initialized_joint,False,0.006121481992940106,0.4111846387386322,0.49598655104637146,0.5
0.0,0.0,confounded,1,pooled_mlp,,,,,
0.0,0.0,confounded,1,V0_random_init_mechanism,True,0.007638922742322102,0.1847733110189438,0.03529488295316696,0.5
0.0,0.0,confounded,1,V7_oracle_u_aware,,,,,1.0
0.0,0.0,confounded,1,V1_explicit_collapsed,,,,,
0.0,0.0,confounded,1,V6_oracle_initialized_joint,False,0.005409642033428701,0.4156580865383148,0.4923688471317291,0.5
0.0,0.0,confounded,2,pooled_mlp,,,,,
