kappa,lambda_reward,condition,seed,method,validation_nll
0.0,0.0,confounded,0,public_residual_init_nll_best,-1.6159281730651855
0.0,0.0,confounded,0,source_shuffle_initialization,-1.2997260093688965
0.0,0.0,confounded,0,no_staged_training,-1.6904802322387695
0.0,0.0,confounded,1,public_residual_init_nll_best,-1.5202630758285522
0.0,0.0,confounded,1,source_shuffle_initialization,-1.217308521270752
0.0,0.0,confounded,1,no_staged_training,-1.5777621269226074
0.0,0.0,confounded,2,public_residual_init_nll_best,-1.6398237943649292
0.0,0.0,confounded,2,source_shuffle_initialization,-1.337846040725708
0.0,0.0,confounded,2,no_staged_training,-1.4832931756973267
0.0,0.0,confounded,3,public_residual_init_nll_best,-1.5683797597885132
0.0,0.0,confounded,3,source_shuffle_initialization,-1.2854163646697998
0.0,0.0,confounded,3,no_staged_training,-1.5778844356536865
0.0,0.0,confounded,4,public_residual_init_nll_best,-1.492110013961792
0.0,0.0,confounded,4,source_shuffle_initialization,-1.1413419246673584
0.0,0.0,confounded,4,no_staged_training,-1.6037825345993042
0.0,0.0,confounded,-1,public_residual_init_uniform_candidate_ensemble,-1.4410167276859283
0.0,0.0,confounded,0,public_residual_init_uniform_candidate_ensemble,-1.4983936846256258
0.0,0.0,confounded,1,public_residual_init_uniform_candidate_ensemble,-1.4144948720932007
0.0,0.0,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.4775661230087282
0.0,0.0,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.5180261492729188
0.0,0.0,confounded,4,public_residual_init_uniform_candidate_ensemble,-1.2966028094291688
0.0,0.0,confounded,0,pooled_mlp,-1.8793988227844238
0.0,0.0,confounded,0,V0_random_init_mechanism,-1.207311749458313
0.0,0.0,confounded,0,V7_oracle_u_aware,
0.0,0.0,confounded,0,V1_explicit_collapsed,-1.2147594690322876
0.0,0.0,confounded,0,V6_oracle_initialized_joint,-1.5262211561203003
0.0,0.0,confounded,1,pooled_mlp,-1.9472931623458862
0.0,0.0,confounded,1,V0_random_init_mechanism,-1.2776614427566528
0.0,0.0,confounded,1,V7_oracle_u_aware,
0.0,0.0,confounded,1,V1_explicit_collapsed,-1.156744360923767
0.0,0.0,confounded,1,V6_oracle_initialized_joint,-1.492964506149292
0.0,0.0,confounded,2,pooled_mlp,-1.952760934829712
0.0,0.0,confounded,2,V0_random_init_mechanism,-1.274557113647461
0.0,0.0,confounded,2,V7_oracle_u_aware,
0.0,0.0,confounded,2,V1_explicit_collapsed,-1.209403395652771
0.0,0.0,confounded,2,V6_oracle_initialized_joint,-1.5700315237045288
0.0,0.0,confounded,3,pooled_mlp,-1.9167258739471436
0.0,0.0,confounded,3,V0_random_init_mechanism,-1.2666733264923096
0.0,0.0,confounded,3,V7_oracle_u_aware,
0.0,0.0,confounded,3,V1_explicit_collapsed,-1.2249091863632202
0.0,0.0,confounded,3,V6_oracle_initialized_joint,-1.5946334600448608
0.0,0.0,confounded,4,pooled_mlp,-1.9310619831085205
0.0,0.0,confounded,4,V0_random_init_mechanism,-1.2552595138549805
0.0,0.0,confounded,4,V7_oracle_u_aware,
0.0,0.0,confounded,4,V1_explicit_collapsed,-1.2098346948623657
0.0,0.0,confounded,4,V6_oracle_initialized_joint,-1.6193326711654663
0.0,0.002,confounded,0,public_residual_init_nll_best,-1.6102681159973145
0.0,0.002,confounded,0,source_shuffle_initialization,-1.29505455493927
0.0,0.002,confounded,0,no_staged_training,-1.6787941455841064
0.0,0.002,confounded,1,public_residual_init_nll_best,-1.585780143737793
0.0,0.002,confounded,1,source_shuffle_initialization,-1.2395620346069336
0.0,0.002,confounded,1,no_staged_training,-1.563467025756836
0.0,0.002,confounded,2,public_residual_init_nll_best,-1.6177891492843628
0.0,0.002,confounded,2,source_shuffle_initialization,-1.2737289667129517
0.0,0.002,confounded,2,no_staged_training,-1.4727083444595337
0.0,0.002,confounded,3,public_residual_init_nll_best,-1.6029353141784668
0.0,0.002,confounded,3,source_shuffle_initialization,-1.2808839082717896
0.0,0.002,confounded,3,no_staged_training,-1.5538371801376343
0.0,0.002,confounded,4,public_residual_init_nll_best,-1.5194553136825562
0.0,0.002,confounded,4,source_shuffle_initialization,-1.1824634075164795
0.0,0.002,confounded,4,no_staged_training,-1.6036382913589478
0.0,0.002,confounded,-1,public_residual_init_uniform_candidate_ensemble,-1.4606325554847719
0.0,0.002,confounded,0,public_residual_init_uniform_candidate_ensemble,-1.509569263458252
0.0,0.002,confounded,1,public_residual_init_uniform_candidate_ensemble,-1.3998761653900147
0.0,0.002,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.5387830138206484
0.0,0.002,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.5456524968147276
0.0,0.002,confounded,4,public_residual_init_uniform_candidate_ensemble,-1.309281837940216
0.0,0.002,confounded,0,pooled_mlp,-1.893484354019165
0.0,0.002,confounded,0,V0_random_init_mechanism,-1.2641313076019287
0.0,0.002,confounded,0,V7_oracle_u_aware,
0.0,0.002,confounded,0,V1_explicit_collapsed,-1.2308197021484375
0.0,0.002,confounded,0,V6_oracle_initialized_joint,-1.4962481260299683
0.0,0.002,confounded,1,pooled_mlp,-1.9181255102157593
0.0,0.002,confounded,1,V0_random_init_mechanism,-1.2874923944473267
0.0,0.002,confounded,1,V7_oracle_u_aware,
0.0,0.002,confounded,1,V1_explicit_collapsed,-1.2025586366653442
0.0,0.002,confounded,1,V6_oracle_initialized_joint,-1.5574448108673096
0.0,0.002,confounded,2,pooled_mlp,-1.9454327821731567
0.0,0.002,confounded,2,V0_random_init_mechanism,-1.240012526512146
0.0,0.002,confounded,2,V7_oracle_u_aware,
0.0,0.002,confounded,2,V1_explicit_collapsed,-1.2131950855255127
0.0,0.002,confounded,2,V6_oracle_initialized_joint,-1.527700424194336
0.0,0.002,confounded,3,pooled_mlp,-1.9389358758926392
0.0,0.002,confounded,3,V0_random_init_mechanism,-1.2872521877288818
0.0,0.002,confounded,3,V7_oracle_u_aware,
0.0,0.002,confounded,3,V1_explicit_collapsed,-1.217396855354309
0.0,0.002,confounded,3,V6_oracle_initialized_joint,-1.5529884099960327
0.0,0.002,confounded,4,pooled_mlp,-1.9102649688720703
0.0,0.002,confounded,4,V0_random_init_mechanism,-1.3094090223312378
0.0,0.002,confounded,4,V7_oracle_u_aware,
0.0,0.002,confounded,4,V1_explicit_collapsed,-1.2303664684295654
0.0,0.002,confounded,4,V6_oracle_initialized_joint,-1.504716157913208
0.0,0.005,confounded,0,public_residual_init_nll_best,-1.5607348680496216
0.0,0.005,confounded,0,source_shuffle_initialization,-1.263217568397522
0.0,0.005,confounded,0,no_staged_training,-1.6525976657867432
0.0,0.005,confounded,1,public_residual_init_nll_best,-1.5758650302886963
0.0,0.005,confounded,1,source_shuffle_initialization,-1.2606617212295532
0.0,0.005,confounded,1,no_staged_training,-1.4785715341567993
0.0,0.005,confounded,2,public_residual_init_nll_best,-1.4948986768722534
0.0,0.005,confounded,2,source_shuffle_initialization,-1.167895793914795
0.0,0.005,confounded,2,no_staged_training,-1.4762468338012695
0.0,0.005,confounded,3,public_residual_init_nll_best,-1.4993205070495605
0.0,0.005,confounded,3,source_shuffle_initialization,-1.1564255952835083
0.0,0.005,confounded,3,no_staged_training,-1.5787005424499512
0.0,0.005,confounded,4,public_residual_init_nll_best,-1.5089606046676636
0.0,0.005,confounded,4,source_shuffle_initialization,-1.2359881401062012
0.0,0.005,confounded,4,no_staged_training,-1.5829116106033325
0.0,0.005,confounded,-1,public_residual_init_uniform_candidate_ensemble,-1.3829794108867646
0.0,0.005,confounded,0,public_residual_init_uniform_candidate_ensemble,-1.426907461881638
0.0,0.005,confounded,1,public_residual_init_uniform_candidate_ensemble,-1.4820362091064454
0.0,0.005,confounded,2,public_residual_init_uniform_candidate_ensemble,-1.2091195821762086
0.0,0.005,confounded,3,public_residual_init_uniform_candidate_ensemble,-1.4486683845520019
0.0,0.005,confounded,4,public_residual_init_uniform_candidate_ensemble,-1.3481654167175294
0.0,0.005,confounded,0,pooled_mlp,-1.855028510093689
0.0,0.005,confounded,0,V0_random_init_mechanism,-1.2600384950637817
0.0,0.005,confounded,0,V7_oracle_u_aware,
0.0,0.005,confounded,0,V1_explicit_collapsed,-1.2078574895858765
0.0,0.005,confounded,0,V6_oracle_initialized_joint,-1.5446929931640625
0.0,0.005,confounded,1,pooled_mlp,-1.9255545139312744
0.0,0.005,confounded,1,V0_random_init_mechanism,-1.2706388235092163
0.0,0.005,confounded,1,V7_oracle_u_aware,
0.0,0.005,confounded,1,V1_explicit_collapsed,-1.079981803894043
0.0,0.005,confounded,1,V6_oracle_initialized_joint,-1.5312864780426025
0.0,0.005,confounded,2,pooled_mlp,-1.9187942743301392
0.0,0.005,confounded,2,V0_random_init_mechanism,-1.2695932388305664
