kappa,lambda_reward,condition,seed,method,top_set_disagreement,strict_flip,calibration_budget,calibration_replicate
0.0,0.0,confounded,0,public_residual_init_nll_best,0.3106796116504854,0.3106796116504854,,
0.0,0.0,confounded,0,source_shuffle_initialization,0.30097087378640774,0.30097087378640774,,
0.0,0.0,confounded,0,no_staged_training,0.20711974110032363,0.20711974110032363,,
0.0,0.0,confounded,1,public_residual_init_nll_best,0.2783171521035599,0.2783171521035599,,
0.0,0.0,confounded,1,source_shuffle_initialization,0.2815533980582524,0.2815533980582524,,
0.0,0.0,confounded,1,no_staged_training,0.26537216828478966,0.26537216828478966,,
0.0,0.0,confounded,2,public_residual_init_nll_best,0.3042071197411003,0.3042071197411003,,
0.0,0.0,confounded,2,source_shuffle_initialization,0.27184466019417475,0.2686084142394822,,
0.0,0.0,confounded,2,no_staged_training,0.30097087378640774,0.30097087378640774,,
0.0,0.0,confounded,3,public_residual_init_nll_best,0.313915857605178,0.313915857605178,,
0.0,0.0,confounded,3,source_shuffle_initialization,0.343042071197411,0.343042071197411,,
0.0,0.0,confounded,3,no_staged_training,0.23948220064724918,0.23948220064724918,,
0.0,0.0,confounded,4,public_residual_init_nll_best,0.28802588996763756,0.28802588996763756,,
0.0,0.0,confounded,4,source_shuffle_initialization,0.2686084142394822,0.2686084142394822,,
0.0,0.0,confounded,4,no_staged_training,0.23624595469255663,0.23624595469255663,,
0.0,0.0,confounded,-1,public_residual_init_uniform_candidate_ensemble,0.20388349514563106,0.20388349514563106,,
0.0,0.0,confounded,0,public_residual_init_uniform_candidate_ensemble,0.32362459546925565,0.32362459546925565,,
0.0,0.0,confounded,1,public_residual_init_uniform_candidate_ensemble,0.2750809061488673,0.2750809061488673,,
0.0,0.0,confounded,2,public_residual_init_uniform_candidate_ensemble,0.2977346278317152,0.2977346278317152,,
0.0,0.0,confounded,3,public_residual_init_uniform_candidate_ensemble,0.32362459546925565,0.32362459546925565,,
0.0,0.0,confounded,4,public_residual_init_uniform_candidate_ensemble,0.2912621359223301,0.2912621359223301,,
0.0,0.0,confounded,0,pooled_mlp,0.24271844660194175,0.23948220064724918,,
0.0,0.0,confounded,0,V0_random_init_mechanism,0.2459546925566343,0.2459546925566343,,
0.0,0.0,confounded,0,V7_oracle_u_aware,0.2297734627831715,0.2297734627831715,,
0.0,0.0,confounded,0,V1_explicit_collapsed,0.255663430420712,0.255663430420712,,
0.0,0.0,confounded,0,V6_oracle_initialized_joint,0.21035598705501618,0.21035598705501618,,
0.0,0.0,confounded,1,pooled_mlp,0.2168284789644013,0.2168284789644013,,
0.0,0.0,confounded,1,V0_random_init_mechanism,0.2686084142394822,0.2686084142394822,,
0.0,0.0,confounded,1,V7_oracle_u_aware,0.2621359223300971,0.2621359223300971,,
0.0,0.0,confounded,1,V1_explicit_collapsed,0.2168284789644013,0.2168284789644013,,
0.0,0.0,confounded,1,V6_oracle_initialized_joint,0.23300970873786409,0.23300970873786409,,
0.0,0.0,confounded,2,pooled_mlp,0.23300970873786409,0.23300970873786409,,
0.0,0.0,confounded,2,V0_random_init_mechanism,0.23624595469255663,0.23624595469255663,,
0.0,0.0,confounded,2,V7_oracle_u_aware,0.30097087378640774,0.30097087378640774,,
0.0,0.0,confounded,2,V1_explicit_collapsed,0.2815533980582524,0.2815533980582524,,
0.0,0.0,confounded,2,V6_oracle_initialized_joint,0.18446601941747573,0.18446601941747573,,
0.0,0.0,confounded,3,pooled_mlp,0.1941747572815534,0.1941747572815534,,
0.0,0.0,confounded,3,V0_random_init_mechanism,0.24919093851132687,0.24919093851132687,,
0.0,0.0,confounded,3,V7_oracle_u_aware,0.23300970873786409,0.23300970873786409,,
0.0,0.0,confounded,3,V1_explicit_collapsed,0.19741100323624594,0.19741100323624594,,
0.0,0.0,confounded,3,V6_oracle_initialized_joint,0.21359223300970873,0.21359223300970873,,
0.0,0.0,confounded,4,pooled_mlp,0.2524271844660194,0.2524271844660194,,
0.0,0.0,confounded,4,V0_random_init_mechanism,0.20064724919093851,0.20064724919093851,,
0.0,0.0,confounded,4,V7_oracle_u_aware,0.2686084142394822,0.2686084142394822,,
0.0,0.0,confounded,4,V1_explicit_collapsed,0.28802588996763756,0.28802588996763756,,
0.0,0.0,confounded,4,V6_oracle_initialized_joint,0.22653721682847897,0.22653721682847897,,
0.0,0.002,confounded,0,public_residual_init_nll_best,0.37540453074433655,0.37540453074433655,,
0.0,0.002,confounded,0,source_shuffle_initialization,0.36893203883495146,0.36893203883495146,,
0.0,0.002,confounded,0,no_staged_training,0.2815533980582524,0.2815533980582524,,
0.0,0.002,confounded,1,public_residual_init_nll_best,0.3365695792880259,0.3365695792880259,,
0.0,0.002,confounded,1,source_shuffle_initialization,0.35275080906148865,0.35275080906148865,,
0.0,0.002,confounded,1,no_staged_training,0.30097087378640774,0.30097087378640774,,
0.0,0.002,confounded,2,public_residual_init_nll_best,0.343042071197411,0.343042071197411,,
0.0,0.002,confounded,2,source_shuffle_initialization,0.34951456310679613,0.34951456310679613,,
0.0,0.002,confounded,2,no_staged_training,0.3656957928802589,0.3656957928802589,,
0.0,0.002,confounded,3,public_residual_init_nll_best,0.343042071197411,0.343042071197411,,
0.0,0.002,confounded,3,source_shuffle_initialization,0.3365695792880259,0.3365695792880259,,
0.0,0.002,confounded,3,no_staged_training,0.30097087378640774,0.30097087378640774,,
0.0,0.002,confounded,4,public_residual_init_nll_best,0.343042071197411,0.343042071197411,,
0.0,0.002,confounded,4,source_shuffle_initialization,0.33980582524271846,0.33980582524271846,,
0.0,0.002,confounded,4,no_staged_training,0.36893203883495146,0.36893203883495146,,
