kappa,lambda_reward,condition,method,metric,n_model_seeds,mean,sd,ci95_low,ci95_high,inferential_unit
0.0,0.0,confounded,V0_random_init_mechanism,behavior_table_mae,5,0.19302077194054923,0.0026514676259298243,0.1897290678404748,0.19631247604062366,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,do_mae,5,0.01140361446004735,0.0010463636953911904,0.0101045906165711,0.0127026383035236,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,latent_collapse,5,1.0,0.0,1.0,1.0,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,mean_regret,5,0.0008339244846357422,0.00012110078405623726,0.0006835821068892472,0.0009842668623822374,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,reward_mode_separation,5,0.007055411964302816,0.0004626698983988417,0.006481023506134708,0.007629800422470924,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,top_set_disagreement,5,0.2401294498381877,0.02500510520657845,0.20908648837550636,0.27117241130086905,model_seed
0.0,0.0,confounded,V0_random_init_mechanism,validation_nll,5,-1.2562926292419434,0.028714849681004843,-1.2919411084100938,-1.220644150073793,model_seed
0.0,0.0,confounded,V1_explicit_collapsed,do_mae,5,0.0134238286720954,0.002073468505947511,0.010849690215470224,0.015997967128720578,model_seed
0.0,0.0,confounded,V1_explicit_collapsed,mean_regret,5,0.0009199869892830006,0.0001778004168448944,0.0006992540052556968,0.0011407199733103044,model_seed
0.0,0.0,confounded,V1_explicit_collapsed,top_set_disagreement,5,0.24789644012944984,0.03974131115342072,0.19855899561881832,0.2972338846400814,model_seed
0.0,0.0,confounded,V1_explicit_collapsed,validation_nll,5,-1.2031302213668824,0.026671677145878838,-1.2362421734640394,-1.1700182692697254,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,behavior_table_mae,5,0.004294789500147403,0.0008002471118852989,0.003301310766518967,0.0052882682337758394,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,do_mae,5,0.011077705128740293,0.0011487527816794673,0.009651568824285077,0.012503841433195509,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,latent_collapse,5,0.0,0.0,0.0,0.0,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,mean_regret,5,0.0007484757225030758,5.402575064389584e-05,0.0006814046471616425,0.0008155467978445091,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,reward_mode_separation,5,0.005502439416014641,0.0006266433889312578,0.004724483618079452,0.0062803952139498295,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,top_set_disagreement,5,0.21359223300970873,0.01873112767441784,0.19033819469450333,0.23684627132491412,model_seed
0.0,0.0,confounded,V6_oracle_initialized_joint,validation_nll,5,-1.5606366634368896,0.05112048248535251,-1.6241009502149744,-1.4971723766588048,model_seed
