setting,lambda_reward,condition,seed,method,calibration_budget,do_mae,top_set_disagreement,mean_regret,selected_rank,calibration_replicates
M2_diverse,0.0,confounded,0,MSCSC_correct_source,0,0.025825070408805162,0.4155844155844156,0.0018368810015890126,0.0,5
M2_diverse,0.0,confounded,0,MSCSC_correct_source,16,0.03218388100261575,0.5220779220779221,0.0016580173716363865,0.2,5
M2_diverse,0.0,confounded,0,MSCSC_correct_source,64,0.02914111508985697,0.3454545454545454,0.0013851596669198682,0.0,5
M2_diverse,0.0,confounded,0,MSCSC_source_shuffle,0,0.02549543102550684,0.38961038961038963,0.001539324985545929,0.0,5
M2_diverse,0.0,confounded,0,MSCSC_source_shuffle,16,0.03747392100838489,0.5844155844155844,0.0019413227534502582,0.6,5
M2_diverse,0.0,confounded,0,MSCSC_source_shuffle,64,0.03002034552385973,0.3974025974025975,0.0016350416206340618,0.2,5
M2_diverse,0.0,confounded,0,pooled_rank0,0,0.02603191730840414,0.4025974025974026,0.0018579567305237084,0.0,5
M2_diverse,0.0,confounded,0,pooled_rank0,16,0.03167820180634766,0.5246753246753246,0.0016406069177597772,0.0,5
M2_diverse,0.0,confounded,0,pooled_rank0,64,0.030475337401278467,0.32727272727272727,0.0014210884706551043,0.0,5
M2_diverse,0.0,confounded,1,MSCSC_correct_source,0,0.027728914773825573,0.4675324675324675,0.002086387884442198,0.0,5
M2_diverse,0.0,confounded,1,MSCSC_correct_source,16,0.030932423502361257,0.7246753246753246,0.003567005548448915,0.0,5
M2_diverse,0.0,confounded,1,MSCSC_correct_source,64,0.03394137220751557,0.7766233766233765,0.0030320040659546363,0.4,5
M2_diverse,0.0,confounded,1,MSCSC_source_shuffle,0,0.02783139901332351,0.4805194805194805,0.0021194112318821496,0.0,5
M2_diverse,0.0,confounded,1,MSCSC_source_shuffle,16,0.03063734486773742,0.7532467532467532,0.003775891280806383,0.0,5
M2_diverse,0.0,confounded,1,MSCSC_source_shuffle,64,0.03186086175735355,0.7662337662337662,0.0030493750069307624,0.4,5
