setting,lambda_reward,condition,action,singular_values,rank1_explained_variance,source_reconstruction_error,correct_centered_norm,shuffle_centered_norm
M2_diverse,0.0,confounded,minus,"[0.0, 0.0]",1.0,4.552635327791004e-15,0.08205199294553417,0.0775776782405029
M2_diverse,0.0,confounded,base,"[0.0, 0.0]",1.0,4.756645466034535e-15,0.07980007599672612,0.0770351472019124
M2_diverse,0.0,confounded,plus,"[0.0, 0.0]",1.0,4.48783926234602e-15,0.08360742396029744,0.08035765823839108
M2_diverse,0.01,confounded,minus,"[0.11085125168440595, 4.178355628266379e-15]",1.0,4.496655412122564e-15,0.14024241441729443,0.08473215299571
M2_diverse,0.01,confounded,base,"[0.0, 0.0]",1.0,4.438931757238246e-15,0.08831419588254592,0.08719549299386663
M2_diverse,0.01,confounded,plus,"[0.11085125168440643, 4.180123218468901e-15]",1.0,4.650685988048997e-15,0.1315765116096969,0.08609275942988645
M2_diverse,0.05,confounded,minus,"[0.5542562584220374, 5.066449313955841e-15]",1.0,4.5608547514957685e-15,0.554816370324208,0.18693828493909578
M2_diverse,0.05,confounded,base,"[0.0, 0.0]",1.0,4.513943432215395e-15,0.2012413291516838,0.21337063701651474
M2_diverse,0.05,confounded,plus,"[0.5542562584220373, 5.260347506044205e-15]",1.0,4.523210724650463e-15,0.5428422221879249,0.18365198413325137
M5_diverse,0.0,confounded,minus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.21478467664374537,0.2545566029106883,0.24431836388475484
M5_diverse,0.0,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.21659560925243826,0.2572677615298265,0.2655181561816979
M5_diverse,0.0,confounded,plus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.21125121089311166,0.2513342957905458,0.2448770568176977
M5_diverse,0.01,confounded,minus,"[0.12393546707863472, 1.2554886885364872e-14, 4.327811597207814e-15, 3.675852888491135e-15, 2.009881577619126e-15]",1.0,0.2379358429649337,0.29958154568964335,0.2687045455881677
M5_diverse,0.01,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.2414747776367547,0.2854966458691643,0.29851502743326525
M5_diverse,0.01,confounded,plus,"[0.12393546707863475, 1.2035502215071904e-14, 4.3051454961764316e-15, 3.653837207494695e-15, 1.89508833700227e-15]",1.0,0.23275706488414755,0.292458589972935,0.27373468553099506
M5_diverse,0.05,confounded,minus,"[0.6196773353931848, 9.680948420036279e-15, 4.273252201756999e-15, 3.608708647173142e-15, 3.356288556619857e-15]",1.0,0.5080085930335096,0.8250330315574298,0.5957320406233642
M5_diverse,0.05,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.5772909304804767,0.6771630584977653,0.686673228847474
M5_diverse,0.05,confounded,plus,"[0.6196773353931847, 1.0221607592211716e-14, 4.3982809626345296e-15, 4.237335145662251e-15, 3.471683152252229e-15]",1.0,0.4837038840839466,0.7986256568638327,0.6092171477058678
M5_redundant,0.0,confounded,minus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.21478467664374537,0.2545566029106883,0.24431836388475484
M5_redundant,0.0,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.21659560925243826,0.2572677615298265,0.2655181561816979
M5_redundant,0.0,confounded,plus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.2112512108931116,0.2513342957905458,0.2448770568176977
M5_redundant,0.01,confounded,minus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.23588544455359742,0.2772441296969923,0.2705407623423407
M5_redundant,0.01,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.2414747776367547,0.2854966458691643,0.29851502743326525
M5_redundant,0.01,confounded,plus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.23046871199656743,0.2733372108853681,0.2715658555374767
M5_redundant,0.05,confounded,minus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.507260163702304,0.5931517382754589,0.6101851486492942
M5_redundant,0.05,confounded,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.5772909304804767,0.6771630584977653,0.686673228847474
M5_redundant,0.05,confounded,plus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.5078141528666477,0.6012741178261651,0.6116680208819755
M5_diverse,0.05,independent_latents,minus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.5563122101330926,0.6580764064700869,0.665699735870859
M5_diverse,0.05,independent_latents,base,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.547702987087099,0.6506777992615382,0.6541613307028232
M5_diverse,0.05,independent_latents,plus,"[0.0, 0.0, 0.0, 0.0, 0.0]",1.0,0.5628638525054713,0.6705788752659367,0.6795102323352201
