setting,lambda_reward,condition,method,calibration_budget,do_mae_mean,do_mae_sd,top_set_disagreement_mean,top_set_disagreement_sd,mean_regret_mean,mean_regret_sd,selected_rank_mean,selected_rank_sd,seed_count
M2_diverse,0.0,confounded,MSCSC_correct_source,0,0.027702288700727343,0.0018640478834605618,0.43722943722943725,0.027034623369690022,0.001839953128896147,0.00024491314330858866,0.0,0.0,3
M2_diverse,0.0,confounded,MSCSC_correct_source,16,0.037489103183892404,0.010291747826336305,0.5411255411255411,0.17480603101502645,0.0021612488238394447,0.0012336826436736908,0.20000000000000004,0.2,3
M2_diverse,0.0,confounded,MSCSC_correct_source,64,0.031971874610665155,0.0025133535714563907,0.529004329004329,0.22261018213832184,0.0020662022983367065,0.0008595579927471678,0.3333333333333333,0.30550504633038933,3
M2_diverse,0.0,confounded,MSCSC_source_shuffle,0,0.027502916628254093,0.0018650671472511286,0.4415584415584415,0.04682534123979205,0.0018291087425133794,0.0002900434710687171,0.0,0.0,3
M2_diverse,0.0,confounded,MSCSC_source_shuffle,16,0.03728644905352174,0.0065573784127101456,0.5731601731601731,0.1859699145836865,0.0022970186311964155,0.001336994751684617,0.26666666666666666,0.30550504633038933,3
M2_diverse,0.0,confounded,MSCSC_source_shuffle,64,0.031227751457603602,0.0010460576503505579,0.5264069264069263,0.2078949962218804,0.002064474862721643,0.0008552732554059825,0.26666666666666666,0.11547005383792516,3
M2_diverse,0.0,confounded,pooled_rank0,0,0.02829459067108096,0.002057562095871479,0.4545454545454546,0.04498833266412667,0.002060171210272572,0.00024348664460737164,0.0,0.0,3
M2_diverse,0.0,confounded,pooled_rank0,16,0.03470073627207152,0.005368751470280532,0.5203463203463202,0.20652753674230512,0.0019985446529300383,0.0012832706120099518,0.0,0.0,3
M2_diverse,0.0,confounded,pooled_rank0,64,0.03084562949018137,0.0008883918725452739,0.5073593073593073,0.249544477335304,0.002020075422298657,0.000982214737288748,0.0,0.0,3
M2_diverse,0.01,confounded,MSCSC_correct_source,0,0.027734098351644684,0.0022893487063183784,0.6017316017316018,0.054069246739380086,0.0029619204496388932,0.00041137965491360823,0.0,0.0,3
M2_diverse,0.01,confounded,MSCSC_correct_source,16,0.041714148143892994,0.004085867823174141,0.5809523809523809,0.16133891907865128,0.0021634214274357795,0.0008563312286115499,0.46666666666666673,0.3055050463303894,3
M2_diverse,0.01,confounded,MSCSC_correct_source,64,0.03151494177039077,0.0012682795171001726,0.4779220779220779,0.2527901311292767,0.0017298589431916113,0.0009644464972200533,0.26666666666666666,0.11547005383792516,3
M2_diverse,0.01,confounded,MSCSC_source_shuffle,0,0.02790092804322028,0.0028650823743622262,0.6103896103896104,0.05660907718883994,0.002939597336148757,0.0005080790558749023,0.0,0.0,3
M2_diverse,0.01,confounded,MSCSC_source_shuffle,16,0.03544063717496423,0.003197617778968553,0.5835497835497835,0.20376508874275115,0.002249008884548372,0.001291137217404739,0.19999999999999998,0.34641016151377546,3
M2_diverse,0.01,confounded,MSCSC_source_shuffle,64,0.032724202891518464,0.0021638324424325065,0.4805194805194805,0.16738642582564178,0.0017774779683612095,0.00077501845747776,0.26666666666666666,0.11547005383792516,3
M2_diverse,0.01,confounded,pooled_rank0,0,0.028139533981295484,0.0020736322739301847,0.6320346320346321,0.06536653190710608,0.003187301364557514,0.0006667534072426873,0.0,0.0,3
M2_diverse,0.01,confounded,pooled_rank0,16,0.03405064981659654,0.00535888716504228,0.5766233766233766,0.1974025974025974,0.002202663529121821,0.0012914380203931757,0.0,0.0,3
M2_diverse,0.01,confounded,pooled_rank0,64,0.030860451345851875,0.0007624688349425974,0.5082251082251082,0.25721281133387286,0.00190699317782945,0.0008814932706935355,0.0,0.0,3
M2_diverse,0.05,confounded,MSCSC_correct_source,0,0.03386582752366243,0.003392446767442422,0.9177489177489178,0.01983799002145386,0.005600565719003355,9.890171793234019e-05,0.0,0.0,3
M2_diverse,0.05,confounded,MSCSC_correct_source,16,0.04350859809712532,0.0055743637655708625,0.5878787878787878,0.11824126757448407,0.002427016424937204,0.001014713078201616,0.20000000000000004,3.3993498887762956e-17,3
M2_diverse,0.05,confounded,MSCSC_correct_source,64,0.03531899688690208,0.003830985741440221,0.3878787878787879,0.15430699344563953,0.0012808216219162788,0.0005341561179357003,0.0,0.0,3
M2_diverse,0.05,confounded,MSCSC_source_shuffle,0,0.03373155508064587,0.0033159848612382306,0.9090909090909091,0.02249416633206335,0.005551955247538213,0.00020160364495250995,0.0,0.0,3
M2_diverse,0.05,confounded,MSCSC_source_shuffle,16,0.03993224433664012,0.003394385435157237,0.6207792207792208,0.12328773284473575,0.0023580054551112905,0.0009586321554522192,0.0,0.0,3
M2_diverse,0.05,confounded,MSCSC_source_shuffle,64,0.03545294417104599,0.003903411948284088,0.3904761904761904,0.15070158819665655,0.0012565978274362026,0.0005124646515101106,0.0,0.0,3
M2_diverse,0.05,confounded,pooled_rank0,0,0.03367636592325021,0.002664051432556661,0.9134199134199132,0.007498055444021181,0.005581175857749261,2.4012110272681225e-05,0.0,0.0,3
M2_diverse,0.05,confounded,pooled_rank0,16,0.039812142187734746,0.0023120490376872375,0.6043290043290043,0.1584273643489484,0.002293937746804791,0.001013081598621953,0.0,0.0,3
M2_diverse,0.05,confounded,pooled_rank0,64,0.034936603299246825,0.0022378293191651195,0.3922077922077922,0.18911160155083004,0.0013316060971363935,0.000618362483792138,0.0,0.0,3
M5_diverse,0.0,confounded,MSCSC_correct_source,0,0.02730635858969484,0.0022571753412464943,0.44155844155844154,0.04682534123979209,0.0019972719174968664,0.0003262693830205118,0.0,0.0,3
M5_diverse,0.0,confounded,MSCSC_correct_source,16,0.037037360923364286,0.005232613707119516,0.5887445887445888,0.20631509622312008,0.0021586274196663505,0.0010902866978333564,0.26666666666666666,0.11547005383792516,3
