setting,source_count,lambda_reward,condition,seed,method,uncalibrated_rank1_contrast_rms,source_reconstruction_mae,do_prediction_not_claimed_without_tau
M2_diverse,2,0.0,confounded,0,MSCSC_correct_source,0.009836902841925621,0.02633842084285232,True
M2_diverse,2,0.0,confounded,0,MSCSC_source_shuffle,0.008432276546955109,0.025825370911977473,True
M2_diverse,2,0.0,confounded,1,MSCSC_correct_source,0.007650627754628658,0.02861376806298874,True
M2_diverse,2,0.0,confounded,1,MSCSC_source_shuffle,0.005533419083803892,0.028017758203757667,True
M2_diverse,2,0.0,confounded,2,MSCSC_correct_source,0.008596315048635006,0.030255742759680012,True
M2_diverse,2,0.0,confounded,2,MSCSC_source_shuffle,0.008474644273519516,0.029694815717570443,True
M2_diverse,2,0.01,confounded,0,MSCSC_correct_source,0.010814829729497433,0.02559958212643335,True
M2_diverse,2,0.01,confounded,0,MSCSC_source_shuffle,0.007959338836371899,0.025040680382316407,True
M2_diverse,2,0.01,confounded,1,MSCSC_correct_source,0.007168367505073547,0.028995998799219776,True
M2_diverse,2,0.01,confounded,1,MSCSC_source_shuffle,0.007843052968382835,0.03031810381910848,True
M2_diverse,2,0.01,confounded,2,MSCSC_correct_source,0.010514648631215096,0.03023994556591485,True
M2_diverse,2,0.01,confounded,2,MSCSC_source_shuffle,0.009224521927535534,0.0298725759726938,True
M2_diverse,2,0.05,confounded,0,MSCSC_correct_source,0.018792111426591873,0.029026814712940333,True
M2_diverse,2,0.05,confounded,0,MSCSC_source_shuffle,0.007596801500767469,0.03073095408028635,True
M2_diverse,2,0.05,confounded,1,MSCSC_correct_source,0.02143508940935135,0.036399454298379326,True
M2_diverse,2,0.05,confounded,1,MSCSC_source_shuffle,0.010214357636868954,0.03688377312421335,True
M2_diverse,2,0.05,confounded,2,MSCSC_correct_source,0.020226169377565384,0.034370373783419776,True
M2_diverse,2,0.05,confounded,2,MSCSC_source_shuffle,0.0068085407838225365,0.03495255187981334,True
M5_diverse,5,0.0,confounded,0,MSCSC_correct_source,0.007129578851163387,0.025539115642253477,True
M5_diverse,5,0.0,confounded,0,MSCSC_source_shuffle,0.007881728932261467,0.02645571104761406,True
M5_diverse,5,0.0,confounded,1,MSCSC_correct_source,0.00561911053955555,0.027471495872705795,True
M5_diverse,5,0.0,confounded,1,MSCSC_source_shuffle,0.005975525360554457,0.027718633386610736,True
M5_diverse,5,0.0,confounded,2,MSCSC_correct_source,0.008907975628972054,0.03020085516373967,True
M5_diverse,5,0.0,confounded,2,MSCSC_source_shuffle,0.008654791861772537,0.029426650850458567,True
M5_diverse,5,0.01,confounded,0,MSCSC_correct_source,0.007378826383501291,0.02606667936600687,True
M5_diverse,5,0.01,confounded,0,MSCSC_source_shuffle,0.007854266092181206,0.026878671553725152,True
M5_diverse,5,0.01,confounded,1,MSCSC_correct_source,0.00683405390009284,0.027382725842865573,True
M5_diverse,5,0.01,confounded,1,MSCSC_source_shuffle,0.007033772300928831,0.0275563075943967,True
M5_diverse,5,0.01,confounded,2,MSCSC_correct_source,0.009883440099656582,0.029375071838312786,True
M5_diverse,5,0.01,confounded,2,MSCSC_source_shuffle,0.007353747263550758,0.029115274380230996,True
M5_diverse,5,0.05,confounded,0,MSCSC_correct_source,0.013436944223940372,0.03275712162657747,True
M5_diverse,5,0.05,confounded,0,MSCSC_source_shuffle,0.007812438998371363,0.03311966041440489,True
M5_diverse,5,0.05,confounded,1,MSCSC_correct_source,0.012164225801825523,0.03644687614940967,True
M5_diverse,5,0.05,confounded,1,MSCSC_source_shuffle,0.010080228559672832,0.035179399709014535,True
M5_diverse,5,0.05,confounded,2,MSCSC_correct_source,0.016551392152905464,0.03456394733189273,True
M5_diverse,5,0.05,confounded,2,MSCSC_source_shuffle,0.008465605787932873,0.03591571499762931,True
M5_redundant,5,0.0,confounded,0,MSCSC_correct_source,0.007129578851163387,0.025539115642253474,True
M5_redundant,5,0.0,confounded,0,MSCSC_source_shuffle,0.007881728932261467,0.02645571104761406,True
M5_redundant,5,0.0,confounded,1,MSCSC_correct_source,0.00561911053955555,0.027471495872705788,True
M5_redundant,5,0.0,confounded,1,MSCSC_source_shuffle,0.005975525360554457,0.02771863338661073,True
M5_redundant,5,0.0,confounded,2,MSCSC_correct_source,0.008907975628972054,0.03020085516373967,True
M5_redundant,5,0.0,confounded,2,MSCSC_source_shuffle,0.008654791861772537,0.029426650850458567,True
M5_redundant,5,0.01,confounded,0,MSCSC_correct_source,0.007320825010538101,0.026516633799957917,True
M5_redundant,5,0.01,confounded,0,MSCSC_source_shuffle,0.007372679654508829,0.026712111908427927,True
M5_redundant,5,0.01,confounded,1,MSCSC_correct_source,0.005239531863480806,0.027166968256328788,True
M5_redundant,5,0.01,confounded,1,MSCSC_source_shuffle,0.006044644396752119,0.027588689038045722,True
M5_redundant,5,0.01,confounded,2,MSCSC_correct_source,0.008665022440254688,0.02926995758849463,True
M5_redundant,5,0.01,confounded,2,MSCSC_source_shuffle,0.007891280576586723,0.028807806461813763,True
M5_redundant,5,0.05,confounded,0,MSCSC_correct_source,0.006289733573794365,0.027287272093572706,True
M5_redundant,5,0.05,confounded,0,MSCSC_source_shuffle,0.007238935679197311,0.027496455691403163,True
M5_redundant,5,0.05,confounded,1,MSCSC_correct_source,0.008157218806445599,0.03355979713841809,True
M5_redundant,5,0.05,confounded,1,MSCSC_source_shuffle,0.0055295974016189575,0.03387029812281543,True
M5_redundant,5,0.05,confounded,2,MSCSC_correct_source,0.007971527054905891,0.031199302408427318,True
M5_redundant,5,0.05,confounded,2,MSCSC_source_shuffle,0.008567864075303078,0.030952994308911932,True
M5_diverse,5,0.05,independent_latents,0,MSCSC_correct_source,0.006312449462711811,0.03073714815444486,True
M5_diverse,5,0.05,independent_latents,0,MSCSC_source_shuffle,0.006744165904819965,0.03164763022199974,True
M5_diverse,5,0.05,independent_latents,1,MSCSC_correct_source,0.008240530267357826,0.030569666076958654,True
M5_diverse,5,0.05,independent_latents,1,MSCSC_source_shuffle,0.005903099663555622,0.030831932174315856,True
M5_diverse,5,0.05,independent_latents,2,MSCSC_correct_source,0.007719845045357943,0.03287362446039736,True
M5_diverse,5,0.05,independent_latents,2,MSCSC_source_shuffle,0.008400286547839642,0.03243692008660505,True
