kappa,lambda_reward,source_setting,condition,source_variant,pairwise_certified_fraction,pairwise_correct_fraction,pairwise_false_count,unique_best_fraction,unique_best_correct_fraction,unique_best_false_count,decision_set_mean_size,decision_set_size_1_fraction,decision_set_size_2_fraction,decision_set_size_3_fraction
0.0,0.05,M2_same_direction_diverse,confounded,correct,0.006510416666666667,1.0,0,0.0,1.0,0,2.98046875,0.0,0.01953125,0.98046875
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.0,0.05,M5_same_direction_diverse,confounded,correct,0.006510416666666667,1.0,0,0.0,1.0,0,2.98046875,0.0,0.01953125,0.98046875
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.0,0.05,M5_redundant,confounded,correct,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.0,0.05,M5_redundant,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.0,0.05,matched_opposite_M2,confounded,correct,0.024739583333333332,1.0,0,0.0,1.0,0,2.92578125,0.0,0.07421875,0.92578125
0.0,0.05,matched_opposite_M2,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,M2_same_direction_diverse,confounded,correct,0.0013020833333333333,1.0,0,0.0,1.0,0,2.99609375,0.0,0.00390625,0.99609375
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,M5_same_direction_diverse,confounded,correct,0.0013020833333333333,1.0,0,0.0,1.0,0,2.99609375,0.0,0.00390625,0.99609375
0.3,0.05,M5_same_direction_diverse,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,M5_redundant,confounded,correct,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,M5_redundant,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,matched_opposite_M2,confounded,correct,0.07161458333333333,1.0,0,0.0,1.0,0,2.78515625,0.0,0.21484375,0.78515625
0.3,0.05,matched_opposite_M2,confounded,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.0,M5_same_direction_diverse,confounded,correct,0.2942708333333333,1.0,0,0.0,1.0,0,2.14453125,0.0,0.85546875,0.14453125
0.3,0.0,M5_same_direction_diverse,confounded,shuffle,0.032552083333333336,1.0,0,0.0,1.0,0,2.91015625,0.0,0.08984375,0.91015625
0.3,0.05,M5_same_direction_diverse,independent_latents,correct,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
0.3,0.05,M5_same_direction_diverse,independent_latents,shuffle,0.0,1.0,0,0.0,1.0,0,3.0,0.0,0.0,1.0
