kappa,lambda_reward,source_setting,condition,source_variant,method,mean_regret,median_regret,max_regret
0.0,0.05,M2_same_direction_diverse,confounded,correct,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,correct,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,correct,best_single_lower,0.005059272554188584,0.004814415185881771,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,correct,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,correct,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,best_single_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M2_same_direction_diverse,confounded,shuffle,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,correct,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,correct,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,correct,best_single_lower,0.0064457036606176046,0.005392891214013096,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,correct,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,correct,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,best_single_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_same_direction_diverse,confounded,shuffle,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,correct,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,correct,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,correct,best_single_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,correct,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,correct,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,shuffle,natural_intersection_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,shuffle,pooled_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,shuffle,best_single_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,shuffle,joint_lower,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,M5_redundant,confounded,shuffle,observational_pooled,0.006785044597560843,0.005520588292926787,0.01766629027091593
0.0,0.05,matched_opposite_M2,confounded,correct,natural_intersection_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,correct,pooled_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,correct,best_single_lower,0.004742615121655122,0.004127266799009099,0.01547522696917536
0.0,0.05,matched_opposite_M2,confounded,correct,joint_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,correct,observational_pooled,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,natural_intersection_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,pooled_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,best_single_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,joint_lower,0.0,0.0,0.0
0.0,0.05,matched_opposite_M2,confounded,shuffle,observational_pooled,0.0,0.0,0.0
0.3,0.05,M2_same_direction_diverse,confounded,correct,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,correct,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,correct,best_single_lower,0.004516095760793452,0.004177006170622444,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,correct,joint_lower,0.006544240873462127,0.005659921154630432,0.015475224453540104
0.3,0.05,M2_same_direction_diverse,confounded,correct,observational_pooled,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,natural_intersection_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
0.3,0.05,M2_same_direction_diverse,confounded,shuffle,pooled_lower,0.006610892683430547,0.005714351961163988,0.017062863351915425
