condition,data_label,samples_per_anchor_source,contrast,metric,n_model_seeds,mean_difference,difference_seed_sd,action_min_better_seed_count,seed_differences
confounded,n128,128,action_level_min_minus_pooled_balanced,regret_mean,3,-0.036578833045453285,0.044063986022015465,3,"[-0.00029800361332499303,-0.023825705945532905,-0.08561278957750196]"
confounded,n128,128,action_level_min_minus_pooled_balanced,regret_median,3,0.0025734873808621237,0.1352568981527552,1,"[0.08298394999320635,0.07832103363847409,-0.15358452148909407]"
confounded,n128,128,action_level_min_minus_pooled_balanced,regret_p90,3,-0.1480003714538877,0.08792153723732067,3,"[-0.23422733967394738,-0.058476983510126646,-0.1512967911775891]"
confounded,n128,128,action_level_min_minus_pooled_balanced,regret_cvar90,3,-0.23825483497508534,0.17159854493210158,3,"[-0.33446305544199006,-0.040137244151527085,-0.34016420533173886]"
confounded,n128,128,action_level_min_minus_source_3,regret_mean,3,0.020255978209237042,0.0076977496008613635,0,"[0.02605326053413226,0.02319248804326368,0.011522186050315186]"
confounded,n128,128,action_level_min_minus_source_3,regret_median,3,0.07287544507222303,0.12049450025833536,1,"[0.10993027909235309,0.1704907379035916,-0.061794681779275606]"
confounded,n128,128,action_level_min_minus_source_3,regret_p90,3,0.16326116779140434,0.11001630150407322,0,"[0.09793510881106604,0.2902797276452367,0.10156866691791033]"
confounded,n128,128,action_level_min_minus_source_3,regret_cvar90,3,-0.4072942315845296,0.4762159662229079,2,"[-0.51555466335898,-0.8200595132871022,0.11373148189249349]"
confounded,n16,16,action_level_min_minus_pooled_balanced,regret_mean,3,-0.024234919821776946,0.09595460742175102,2,"[-0.09785172498331607,-0.05913921614307316,0.08428618166105839]"
confounded,n16,16,action_level_min_minus_pooled_balanced,regret_median,3,0.03828805496637718,0.04749089634096641,1,"[-0.012697216173933157,0.08126673726900435,0.04629464380406034]"
confounded,n16,16,action_level_min_minus_pooled_balanced,regret_p90,3,-0.3160748596249959,0.2678672084432367,3,"[-0.6224433471751354,-0.1997227178311114,-0.1260585138687409]"
