condition,seed,left,right,prediction_mae,top_action_disagreement,potential_drift_mae,left_do_mae,right_do_mae
confounded,0,balanced,source1_heavy,0.3459025244361362,0.2727272727272727,0.3234621229147377,2.8886960959900185,2.8716613172199925
confounded,0,balanced,source3_heavy,0.46758168566795255,0.33766233766233766,0.5752117914206205,2.8886960959900185,2.7778271088412034
confounded,0,source1_heavy,source3_heavy,0.5683619328741095,0.4155844155844156,0.6307904500895403,2.8716613172199925,2.7778271088412034
confounded,1,balanced,source1_heavy,0.4515206547922252,0.19480519480519481,0.48282545357949014,3.475129735542348,3.4466344480121305
confounded,1,balanced,source3_heavy,0.5924351952016071,0.4025974025974026,0.5678051306115545,3.475129735542348,3.429965877475192
confounded,1,source1_heavy,source3_heavy,0.668105292411662,0.4025974025974026,0.6312873146939615,3.4466344480121305,3.429965877475192
confounded,2,balanced,source1_heavy,0.6027457134132094,0.37662337662337664,0.5413388231639235,3.186033453988702,3.1601249554982815
confounded,2,balanced,source3_heavy,0.7131527813204438,0.4675324675324675,0.8373487606789092,3.186033453988702,3.264375105926653
confounded,2,source1_heavy,source3_heavy,0.7998821106458156,0.6103896103896104,0.84600825613403,3.1601249554982815,3.264375105926653
independent_latents,0,balanced,source1_heavy,0.4249752688743961,0.2987012987012987,0.3449204617879218,3.0121032816142876,3.0266651664042463
independent_latents,0,balanced,source3_heavy,0.4712213917680312,0.24675324675324675,0.5471704018042352,3.0121032816142876,3.039574105273327
independent_latents,0,source1_heavy,source3_heavy,0.6404926491543845,0.35064935064935066,0.6875424724223287,3.0266651664042463,3.039574105273327
