condition,method,composition,candidate_set,model_seed_count,do_mae_mean,do_mae_seed_sd,do_rmse_mean,do_rmse_seed_sd,signed_error_mean,signed_error_seed_sd,underestimation_fraction_mean,underestimation_fraction_seed_sd,mean_positive_slack_mean,mean_positive_slack_seed_sd,top_action_disagreement_mean,top_action_disagreement_seed_sd,strict_flip_mean,strict_flip_seed_sd,selected_action_0_fraction_mean,selected_action_0_fraction_seed_sd,selected_action_1_fraction_mean,selected_action_1_fraction_seed_sd,selected_action_2_fraction_mean,selected_action_2_fraction_seed_sd,regret_mean_mean,regret_mean_seed_sd,regret_median_mean,regret_median_seed_sd,regret_conditional_mean_mean,regret_conditional_mean_seed_sd,regret_p90_mean,regret_p90_seed_sd,regret_max_mean,regret_max_seed_sd,phi_mae_mean,phi_mae_seed_sd,phi_signed_bias_mean,phi_signed_bias_seed_sd
confounded,single_source_1,INVARIANT,union,3,3.6527237006764017,0.1791351679340342,4.725891496689971,0.4540402207372534,2.5066776852823263,0.6678170025131324,0.17980828695114406,0.05776460516275864,3.079700692979364,0.3908708172433136,0.9090909090909091,0.02249416633206335,0.9090909090909091,0.02249416633206335,0.008658008658008658,0.007498055444021114,0.004329004329004329,0.007498055444021115,0.008658008658008658,0.014996110888042228,0.8915648364144252,0.03511817117704523,0.5334973516895047,0.08915005265882496,0.9805030566465724,0.015797199953792848,1.8904487652042128,0.28793071141602533,6.737788130708016,0.794543328587822,4.8557213047358765,0.5695090284648241,4.232606593109684,0.9289705537211748
confounded,single_source_2,INVARIANT,union,3,3.2492788843279747,0.5564079224560279,4.119977738676636,0.5949038334165523,2.618487576806389,0.7519742702599155,0.18413729128014844,0.08723181577081576,2.9338832305671816,0.6504054002769869,0.9090909090909091,0.0,0.9090909090909091,0.0,0.05627705627705628,0.007498055444021109,0.03896103896103896,0.012987012987012988,0.012987012987012986,2.1245936804851847e-18,0.8648345816068153,0.15661381323045204,0.6140881675246609,0.0427955828160171,0.951318039767497,0.17227519455349727,1.9628566086964614,0.5570645221498817,5.692291642105204,2.038750270320932,4.821020017175425,1.1597702596340738,4.55624271928095,1.2042919116713047
confounded,single_source_3,INVARIANT,union,3,3.6573962876033295,0.6479197845237155,4.609647113909807,0.7788989674097447,2.9548853308205607,0.8130937833486455,0.15058750773036486,0.0685724760111366,3.306140809211945,0.7128528925760936,0.9090909090909091,0.03436040663720249,0.9090909090909091,0.03436040663720249,0.0909090909090909,0.02249416633206334,0.04329004329004329,0.014996110888042228,0.06060606060606061,0.019837990021453852,0.7711406218825814,0.09128350513077907,0.42819242526614215,0.12135008430514041,0.8476871728176189,0.08687990937148721,1.5952939594511213,0.14672301620039754,6.897002228101106,0.6706723328532301,5.370673303220286,1.716261844574708,5.166331942223129,1.891965149418675
confounded,action_level_min,INVARIANT,union,3,2.3723345837920093,0.2065314214295149,3.296683870756212,0.28100893585332726,0.4625574668832311,0.6177839213073562,0.3611626468769326,0.07147423626042965,1.4174460253376202,0.32313356997527515,0.9004329004329005,0.029992221776084464,0.9004329004329005,0.029992221776084464,0.03896103896103897,0.02249416633206334,0.012987012987012986,2.1245936804851847e-18,0.021645021645021644,0.019837990021453852,0.8083792774678411,0.09280229289978151,0.5133811153639461,0.08828830375451882,0.8962811257142098,0.07432112316639723,1.6904379466010189,0.3089939958244697,7.092624843425369,0.40894612007973635,3.0398431795700414,0.4892116909359003,2.1448613092452615,1.002455086601457
confounded,state_level_min,INVARIANT,union,3,2.4923018012941416,0.20665252035628992,3.41805775580271,0.22961724693379543,0.779156405550796,0.813054240247726,0.3217377860235003,0.09958066279283957,1.635729103422469,0.4448876751354035,0.9047619047619048,0.029992221776084467,0.9047619047619048,0.029992221776084467,0.051948051948051945,0.02249416633206334,0.021645021645021644,0.007498055444021114,0.017316017316017316,0.019837990021453852,0.808369368429577,0.10918403467391627,0.5219502458023916,0.09952841648448853,0.8931562589583714,0.11144653152770329,1.7897793575837702,0.4198528090806955,6.059530207448328,0.881945212552569,3.180647226152079,0.5854368254260863,2.311107426584677,1.0955897560746044
confounded,best_single_source_posthoc,INVARIANT,union,3,3.62133378886255,0.5698852779857277,4.689172247620018,0.7884705389227098,2.6735273497485044,0.7921261793350619,0.18506493506493507,0.04286527402805946,3.147430569305527,0.6703696466384216,0.8008658008658008,0.027034623369690043,0.8008658008658008,0.027034623369690043,0.04329004329004329,0.01983799002145385,0.047619047619047616,0.02999222177608445,0.025974025974025972,0.025974025974025976,0.4150475479033287,0.05679832995861916,0.18727768179369755,0.0850633117588408,0.5184304254961368,0.07177911490607508,1.046568940204992,0.19221232694300425,3.587233182650342,2.0647617434550454,4.9545835581675375,0.9598163544344123,4.554665906078216,1.0234468198314908
confounded,pooled_aamas_union,balanced,union,3,3.183286428507023,0.29322647051621303,4.07284849964753,0.24838779316701223,2.614057464155917,0.06460356406162727,0.15367965367965367,0.03405960514639471,2.89867194633147,0.17051101402479735,0.9090909090909092,0.02249416633206335,0.9090909090909092,0.02249416633206335,0.051948051948051945,0.012987012987012984,0.021645021645021644,0.007498055444021114,0.017316017316017316,0.029992221776084457,0.8394076641344199,0.142053055485421,0.46466749146545777,0.08437487268659258,0.9254986000107115,0.17288074742343815,1.8810352572741855,0.42440251642673404,7.402316803157437,0.5990493327362089,4.358165050964995,0.15211169613981168,4.122764066782248,0.04317246680826529
confounded,pooled_aamas_native,balanced,native,3,3.2372784101798397,0.2379345854579025,4.158652533055103,0.15450379096601807,2.6153315337581797,0.10425764028769591,0.1544011544011544,0.03739140702398402,2.9263049719690097,0.12152835344063524,0.9264069264069263,0.01983799002145386,0.9264069264069263,0.01983799002145386,0.06060606060606061,0.029992221776084453,0.05627705627705628,0.019837990021453852,0.025974025974025972,4.2491873609703695e-18,0.8187459551910976,0.07900021893487613,0.45288373792160047,0.03619724335894864,0.8828515272957582,0.06589276618601515,1.95243986938059,0.29159029374202455,8.165372910581937,0.20611059424023354,4.433412462923499,0.12855640301153573,4.194423049686174,0.125399421613152
confounded,pooled_aamas_union,source1_heavy,union,3,3.159473573576802,0.28748711885410444,4.022638341531866,0.2592274288879227,2.588174601646459,0.007089801722876492,0.15074211502782933,0.04478704157541118,2.8738240876116303,0.14539418391374645,0.9090909090909091,0.03436040663720249,0.9090909090909091,0.03436040663720249,0.03896103896103897,0.022494166332063335,0.021645021645021644,0.007498055444021114,0.017316017316017316,0.019837990021453852,0.8478173644381329,0.05034096636591456,0.5112790261012113,0.029913886830125337,0.9340200677187102,0.07641427966866876,1.8414331046290506,0.2544375833382911,7.092624843425369,0.40894612007973635,4.327169835063665,0.15062087149875567,4.119231483048167,0.046488822598912447
confounded,pooled_aamas_native,source1_heavy,native,3,3.2225467470647504,0.23970434189625262,4.154003069992903,0.18970977862445804,2.583964481530543,0.08639138998289711,0.15295815295815296,0.04471752589659054,2.9032556142976467,0.08670199405142608,0.935064935064935,0.02249416633206335,0.935064935064935,0.02249416633206335,0.06060606060606061,0.019837990021453852,0.05627705627705628,0.014996110888042225,0.03463203463203463,0.019837990021453852,0.8395793475150329,0.12910592113342523,0.49749664827176804,0.07050937551454564,0.8998922418618852,0.154533612401313,1.9218949066916389,0.44611493160210147,8.256881147945876,0.13835390453163812,4.370863406513916,0.10865550837761578,4.1592650401887035,0.16310623669943103
