condition,seed,method,composition,candidate_set,do_mae,do_rmse,signed_error,underestimation_fraction,mean_positive_slack,top_action_disagreement,strict_flip,selected_action_0_fraction,selected_action_1_fraction,selected_action_2_fraction,regret_mean,regret_median,regret_conditional_mean,regret_p90,regret_max,phi_mae,phi_signed_bias,source_id,posthoc_oracle_diagnostic,phi_value_mean
confounded,0,single_source_1,INVARIANT,union,3.7448173001563383,5.216882453138018,3.271472633984217,0.11549165120593692,3.5081449670702773,0.935064935064935,0.935064935064935,0.012987012987012988,0.0,0.025974025974025976,0.9311203592389818,0.628327045134597,0.9957814952972446,1.5597952718718489,7.543358875099216,5.368558899303212,5.2788233013594095,1,False,
confounded,0,single_source_2,INVARIANT,union,3.465129854404659,4.237363370706197,3.0799757522855096,0.12198515769944342,3.272552803345084,0.9090909090909091,0.9090909090909091,0.05194805194805195,0.025974025974025976,0.012987012987012988,0.6848104629424209,0.5963214154197658,0.753291509236663,1.3700160121679232,3.3423592711387187,4.904634971704639,4.7077589434353895,2,False,
confounded,0,single_source_3,INVARIANT,union,4.398242536794608,5.506745325724053,3.738493107292691,0.1326530612244898,4.068367822043649,0.8701298701298701,0.8701298701298701,0.07792207792207792,0.05194805194805195,0.07792207792207792,0.6994439243000721,0.318309979225603,0.803838539867247,1.5986449521003592,6.315153562720184,7.315409421829384,7.257502894479014,3,False,
confounded,0,action_level_min,INVARIANT,union,2.4243280975342048,3.2131349242371803,1.1544628129661871,0.2787569573283859,1.7893954552501956,0.8831168831168831,0.8831168831168831,0.012987012987012988,0.012987012987012988,0.025974025974025976,0.7288618231678645,0.4989445084806903,0.825328829175376,1.3370694730781454,7.543358875099216,3.5566550798302266,3.2981769055683583,,False,
confounded,0,state_level_min,INVARIANT,union,2.593240685709456,3.3990443264142525,1.704139024710409,0.20686456400742115,2.1486898552099327,0.922077922077922,0.922077922077922,0.03896103896103896,0.012987012987012988,0.012987012987012988,0.7289244438090241,0.5672276934402021,0.7905236925816177,1.3200870133693177,5.234654753485756,3.822080947608357,3.5700347373279997,,False,288.5327992436309
confounded,0,best_single_source_posthoc,INVARIANT,union,4.182474095053447,5.512556052800571,3.5715977439641056,0.13636363636363635,3.877035919508776,0.7922077922077922,0.7922077922077922,0.025974025974025976,0.06493506493506493,0.025974025974025976,0.3500711044234511,0.19807565400509475,0.441893033452553,0.8519105350684982,2.159786842012693,5.815640048728905,5.647693202656556,,True,
confounded,0,pooled_aamas_union,balanced,union,2.8886960959900185,3.83588306560195,2.595894263102361,0.11641929499072357,2.7422951795461894,0.8831168831168831,0.8831168831168831,0.05194805194805195,0.025974025974025976,0.0,0.9502430057648421,0.5608474462312643,1.076010462410189,2.1546714738650397,7.543358875099216,4.184526848775635,4.137468331999674,,False,
confounded,0,pooled_aamas_native,balanced,native,3.010319961640309,4.055965593025703,2.6990451769870787,0.1188071188071188,2.8546825693136944,0.948051948051948,0.948051948051948,0.07792207792207792,0.05194805194805195,0.025974025974025976,0.9073294512821117,0.48882190321410235,0.9570461335441452,2.2090300864098946,8.394080014115673,4.3869625650308235,4.318415331121402,,False,
confounded,0,pooled_aamas_union,source1_heavy,union,2.8716613172199925,3.7338043815565722,2.5813075493818274,0.10899814471243043,2.72648443330091,0.8701298701298701,0.8701298701298701,0.025974025974025976,0.025974025974025976,0.012987012987012988,0.8781490380945778,0.5457457981470384,1.0092160587057089,1.889290069578442,7.543358875099216,4.155516289080871,4.124008783853967,,False,
confounded,0,pooled_aamas_native,source1_heavy,native,2.984128846164655,3.9367033888084366,2.683649027510015,0.11351611351611351,2.833888936837335,0.922077922077922,0.922077922077922,0.07792207792207792,0.03896103896103896,0.05194805194805195,0.9799080566395689,0.5787636879373963,1.062717188186575,2.400340054276371,8.411823451061593,4.37757022136795,4.326501200318544,,False,
