condition,seed,metric,source_id,value
confounded,0,minimum_source_fraction,1,0.4202226345083488
confounded,0,minimum_source_fraction,2,0.29545454545454547
confounded,0,minimum_source_fraction,3,0.28432282003710574
confounded,0,within_state_source_switch_fraction,ALL,0.8701298701298701
confounded,0,state_minus_action_phi_gap_mean,ALL,0.2718578317596421
confounded,0,state_minus_action_phi_gap_positive_fraction,ALL,0.4025974025974026
confounded,1,minimum_source_fraction,1,0.2815398886827458
confounded,1,minimum_source_fraction,2,0.2634508348794063
confounded,1,minimum_source_fraction,3,0.4550092764378479
confounded,1,within_state_source_switch_fraction,ALL,0.5324675324675324
confounded,1,state_minus_action_phi_gap_mean,ALL,0.09105482669145912
confounded,1,state_minus_action_phi_gap_positive_fraction,ALL,0.23376623376623376
confounded,2,minimum_source_fraction,1,0.28710575139146566
confounded,2,minimum_source_fraction,2,0.50139146567718
confounded,2,minimum_source_fraction,3,0.21150278293135436
confounded,2,within_state_source_switch_fraction,ALL,0.7532467532467533
confounded,2,state_minus_action_phi_gap_mean,ALL,0.13582569356714627
confounded,2,state_minus_action_phi_gap_positive_fraction,ALL,0.33766233766233766
independent_latents,0,minimum_source_fraction,1,0.4202226345083488
independent_latents,0,minimum_source_fraction,2,0.25556586270871984
independent_latents,0,minimum_source_fraction,3,0.32421150278293137
independent_latents,0,within_state_source_switch_fraction,ALL,0.8311688311688312
independent_latents,0,state_minus_action_phi_gap_mean,ALL,0.3090845126753302
independent_latents,0,state_minus_action_phi_gap_positive_fraction,ALL,0.5064935064935064
