variant,epoch,previous_epoch,ratio_type,ratio,epsilon
matched_moving_target,50,0,infinity_norm,1.0522738253433683,2.220446049250313e-16
matched_moving_target,50,0,rmse,1.0168904312848204,2.220446049250313e-16
matched_moving_target,100,50,infinity_norm,1.1654725355073619,1.2666177480501802e-14
matched_moving_target,100,50,rmse,1.0998646330274031,1.2666177480501802e-14
matched_moving_target,150,100,infinity_norm,1.2476552347101755,3.805768159924512e-14
matched_moving_target,150,100,rmse,1.1685388770856113,3.805768159924512e-14
matched_moving_target,200,150,infinity_norm,1.262808056638456,1.513423853469545e-13
matched_moving_target,200,150,rmse,1.1968997426665904,1.513423853469545e-13
frozen_outer_target,50,0,infinity_norm,1.075692035083626,2.220446049250313e-16
frozen_outer_target,50,0,rmse,1.0228656266479166,2.220446049250313e-16
frozen_outer_target,100,50,infinity_norm,1.1123210951616853,1.5875780982259162e-14
frozen_outer_target,100,50,rmse,1.0721050026529442,1.5875780982259162e-14
frozen_outer_target,150,100,infinity_norm,1.1137353412807394,4.721172251428464e-14
frozen_outer_target,150,100,rmse,1.1045713313429661,4.721172251428464e-14
frozen_outer_target,200,150,infinity_norm,1.1111541894992116,1.1855761598150716e-13
frozen_outer_target,200,150,rmse,1.0995868971842406,1.1855761598150716e-13
